undine_01_f000001|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.|Erstes Kapitel von Undine von Friedrich de la Motte Fouque.
undine_12_f000007|die Weinende zufrieden zu sprechen und gleich des andern Tages einen Ort mit ihr zu verlassen, der ihr seit diesem Vorfalle zuwider sein mußte.|die Weinende zufrieden zu sprechen und gleich des andern Tages einen Ort mit ihr zu verlassen, der ihr seit diesem Vorfalle zuwider sein mußte.
undine_12_f000008|Zwar ist es an dem, daß man sie eben nicht ungleich beurteilte. Weil man schon früher etwas Wunderbares von ihr erwartete, fiel die seltsame Entdeckung von Bertaldens Herkommen nicht allzusehr auf,|Zwar ist es an dem, daß man sie eben nicht ungleich beurteilte. Weil man schon früher etwas Wunderbares von ihr erwartete, fiel die seltsame Entdeckung von Bertaldens Herkommen nicht allzusehr auf,
undine_12_f000009|und nur gegen diese war jedermann, der die Geschichte und ihr stürmisches Betragen dabei erfuhr, übel gesinnt. Davon wußten aber der Ritter und seine Frau noch nichts;|und nur gegen diese war jedermann, der die Geschichte und ihr stürmisches Betragen dabei erfuhr, übel gesinnt. Davon wußten aber der Ritter und seine Frau noch nichts;
undine_12_f000010|außerdem wäre eins für Undinen so schmerzhaft gewesen als das andre, und so hatte man nichts Beßres zu tun, als die Mauern der alten Stadt baldmöglichst hinter sich zu lassen.|außerdem wäre eins für Undinen so schmerzhaft gewesen als das andre, und so hatte man nichts Beßres zu tun, als die Mauern der alten Stadt baldmöglichst hinter sich zu lassen.
undine_12_f000011|Mit den ersten Strahlen des Morgens hielt ein zierlicher Wagen für Undinen vor dem Tore der Herberge; Huldbrands und seiner Knappen Hengste stampften daneben das Pflaster.|Mit den ersten Strahlen des Morgens hielt ein zierlicher Wagen für Undinen vor dem Tore der Herberge; Huldbrands und seiner Knappen Hengste stampften daneben das Pflaster.
undine_12_f000012|Der Ritter führte seine schöne Frau aus der Tür, da trat ihnen ein Fischermädchen in den Weg. – Wir brauchen deine Ware nicht, sagte Huldbrand zu ihr, wir reisen eben fort.|Der Ritter führte seine schöne Frau aus der Tür, da trat ihnen ein Fischermädchen in den Weg. - Wir brauchen deine Ware nicht, sagte Huldbrand zu ihr, wir reisen eben fort.
undine_12_f000013|Da fing das Fischermädchen bitterlich an zu weinen, und nun erst sahen die Eheleute, daß es Bertalda war. Sie traten gleich mit ihr in das Gemach zurück und erfuhren von ihr,|Da fing das Fischermädchen bitterlich an zu weinen, und nun erst sahen die Eheleute, daß es Bertalda war. Sie traten gleich mit ihr in das Gemach zurück und erfuhren von ihr,
undine_12_f000014|der Herzog und die Herzogin seien so erzürnt über ihre gestrige Härte und Heftigkeit, daß sie die Hand gänzlich von ihr abgezogen hätten, nicht ohne ihr jedoch vorher eine reiche Aussteuer zu schenken.|der Herzog und die Herzogin seien so erzürnt über ihre gestrige Härte und Heftigkeit, daß sie die Hand gänzlich von ihr abgezogen hätten, nicht ohne ihr jedoch vorher eine reiche Aussteuer zu schenken.
undine_12_f000015|Der Fischer sei gleichfalls wohl begabt worden und habe noch gestern abends mit seiner Frau wieder den Weg nach der Seespitze eingeschlagen.|Der Fischer sei gleichfalls wohl begabt worden und habe noch gestern abends mit seiner Frau wieder den Weg nach der Seespitze eingeschlagen.
undine_12_f000016|Ich wollte mit ihnen gehn, fuhr sie fort, aber der alte Fischer, der mein Vater sein soll –|Ich wollte mit ihnen gehn, fuhr sie fort, aber der alte Fischer, der mein Vater sein soll -
undine_12_f000017|Er ist es auch wahrhaftig, Bertalda, unterbrach sie Undine. Sieh nur, der, welchen du für den Brunnenmeister ansahst, erzählte mires ausführlich.|Er ist es auch wahrhaftig, Bertalda, unterbrach sie Undine. Sieh nur, der, welchen du für den Brunnenmeister ansahst, erzählte mires ausführlich.
undine_12_f000018|Er wollte mich abreden, daß ich dich nicht mit nach Burg Ringstetten nehmen sollte, und da fuhr ihm dieses Geheimnis mit heraus.|Er wollte mich abreden, daß ich dich nicht mit nach Burg Ringstetten nehmen sollte, und da fuhr ihm dieses Geheimnis mit heraus.
undine_12_f000019|Nun denn, sagte Bertalda, mein Vater – wenn es denn so sein soll – mein Vater sprach: ›Ich nehme dich nicht mit, bis du anders worden bist.|Nun denn, sagte Bertalda, mein Vater - wenn es denn so sein soll - mein Vater sprach: Ich nehme dich nicht mit, bis du anders worden bist.
undine_12_f000020|Wage dich allein durch den verrufenen Wald zu uns hinaus; das soll die Probe sein, ob du dir etwas aus uns machst. Aber komm mir nicht wie ein Fräulein; wie eine Fischerdirne komm!|Wage dich allein durch den verrufenen Wald zu uns hinaus; das soll die Probe sein, ob du dir etwas aus uns machst. Aber komm mir nicht wie ein Fräulein; wie eine Fischerdirne komm!
undine_12_f000021|Da will ich denn tun, wie er gesagt hat, denn von aller Welt bin ich verlassen und will als ein armes Fischerkind bei den ärmlichen Eltern einsam leben und sterben.|Da will ich denn tun, wie er gesagt hat, denn von aller Welt bin ich verlassen und will als ein armes Fischerkind bei den ärmlichen Eltern einsam leben und sterben.
undine_12_f000022|Vor dem Wald graut es mich freilich sehr. Es sollen abscheuliche Gespenster drinnen hausen, und ich bin so furchtsam. Aber was hilftes? – Hierher kam ich nur noch,|Vor dem Wald graut es mich freilich sehr. Es sollen abscheuliche Gespenster drinnen hausen, und ich bin so furchtsam. Aber was hilftes? - Hierher kam ich nur noch,
undine_12_f000023|um bei der edlen Frau von Ringstetten Verzeihung dafür zu erflehen, daß ich mich gestern so ungebührlich erzeigte.|um bei der edlen Frau von Ringstetten Verzeihung dafür zu erflehen, daß ich mich gestern so ungebührlich erzeigte.
undine_12_f000024|Ich fühle wohl, Ihr habt es gut gemeint, holde Dame, aber Ihr wußtet nicht, wie Ihr mich verletzen würdet, und da strömte mir denn in der Angst und Überraschung gar manch unsinnig verwegnes Wort über die Lippen.|Ich fühle wohl, Ihr habt es gut gemeint, holde Dame, aber Ihr wußtet nicht, wie Ihr mich verletzen würdet, und da strömte mir denn in der Angst und Überraschung gar manch unsinnig verwegnes Wort über die Lippen.
undine_12_f000025|Ach verzeiht, verzeiht! Ich bin ja so unglücklich schon. Denkt nur selbsten, was ich noch gestern in der Frühe war, noch gestern zu Anfang Eures Festes, und was nun heut! –|Ach verzeiht, verzeiht! Ich bin ja so unglücklich schon. Denkt nur selbsten, was ich noch gestern in der Frühe war, noch gestern zu Anfang Eures Festes, und was nun heut! -
undine_12_f000026|Die Worte gingen ihr unter in einem schmerzlichen Tränenstrom, und gleichfalls bitterlich weinend fiel ihr Undine um den Hals.|Die Worte gingen ihr unter in einem schmerzlichen Tränenstrom, und gleichfalls bitterlich weinend fiel ihr Undine um den Hals.
undine_12_f000027|Es dauerte lange, bis die tiefgerührte Frau ein Wort hervorbringen konnte; dann aber sagte sie: Du sollst ja mit uns nach Ringstetten; es soll ja alles bleiben,|Es dauerte lange, bis die tiefgerührte Frau ein Wort hervorbringen konnte; dann aber sagte sie: Du sollst ja mit uns nach Ringstetten; es soll ja alles bleiben,
undine_12_f000028|wie es früher abgeredet war;|wie es früher abgeredet war;
undine_12_f000029|nur nenne mich wieder du und nicht mehr Dame und edle Frau.|nur nenne mich wieder du und nicht mehr Dame und edle Frau.
undine_12_f000030|Sieh, wir wurden als Kinder miteinander vertauscht; da schon verzweigte sich unser Geschick, und wir wollen es fürder so innig verzweigen, daß es keine menschliche Gewalt zu trennen imstand sein soll.|Sieh, wir wurden als Kinder miteinander vertauscht; da schon verzweigte sich unser Geschick, und wir wollen es fürder so innig verzweigen, daß es keine menschliche Gewalt zu trennen imstand sein soll.
undine_12_f000031|Nur erst mit uns nach Ringstetten. Wie wir als Schwestern miteinander teilen wollen, besprechen wir dort. – Bertalda sah scheu nach Huldbrand empor.|Nur erst mit uns nach Ringstetten. Wie wir als Schwestern miteinander teilen wollen, besprechen wir dort. - Bertalda sah scheu nach Huldbrand empor.
undine_12_f000032|Ihn jammerte des schönen, bedrängten Mägdleins; er bot ihr die Hand und redete ihr kosend zu, sich ihm und seiner Gattin anzuvertraun.|Ihn jammerte des schönen, bedrängten Mägdleins; er bot ihr die Hand und redete ihr kosend zu, sich ihm und seiner Gattin anzuvertraun.
undine_12_f000033|Euern Eltern, sagte er, schicken wir Botschaft, warum Ihr nicht gekommen seid; und noch manches wollte er wegen der guten Fischersleute hinzusetzen,|Euern Eltern, sagte er, schicken wir Botschaft, warum Ihr nicht gekommen seid; und noch manches wollte er wegen der guten Fischersleute hinzusetzen,
undine_12_f000034|aber er sah, wie Bertalda bei deren Erwähnung schmerzhaft zusammenfuhr, und ließ also lieber das Reden davon sein.|aber er sah, wie Bertalda bei deren Erwähnung schmerzhaft zusammenfuhr, und ließ also lieber das Reden davon sein.
undine_12_f000035|Aber unter den Arm faßte er sie, hob sie zuerst in den Wagen, Undinen ihr nach, und trabte fröhlich beiher, trieb auch den Fuhrmann so wacker an,|Aber unter den Arm faßte er sie, hob sie zuerst in den Wagen, Undinen ihr nach, und trabte fröhlich beiher, trieb auch den Fuhrmann so wacker an,
undine_12_f000036|daß sie das Gebiet der Reichsstadt und mit ihm alle trüben Erinnrungen in kurzer Zeit überflogen hatten und nun die Frauen mit beßrer Lust durch die schönen Gegenden hinrollten,|daß sie das Gebiet der Reichsstadt und mit ihm alle trüben Erinnrungen in kurzer Zeit überflogen hatten und nun die Frauen mit beßrer Lust durch die schönen Gegenden hinrollten,
undine_12_f000037|welche ihr Weg sie entlängst führte.|welche ihr Weg sie entlängst führte.
undine_12_f000038|Nach einigen Tagesreisen kamen sie eines schönen Abends auf Burg Ringstetten an. Dem jungen Rittersmann hatten seine Vögte und Mannen viel zu berichten,|Nach einigen Tagesreisen kamen sie eines schönen Abends auf Burg Ringstetten an. Dem jungen Rittersmann hatten seine Vögte und Mannen viel zu berichten,
undine_12_f000039|so daß Undine mit Bertalden alleinblieb.|so daß Undine mit Bertalden alleinblieb.
undine_12_f000040|Die bei den ergingen sich auf dem hohen Walle der Veste und freuten sich an der anmutigen Landschaft, die sich ringsum durch das gesegnete Schwaben ausbreitete.|Die bei den ergingen sich auf dem hohen Walle der Veste und freuten sich an der anmutigen Landschaft, die sich ringsum durch das gesegnete Schwaben ausbreitete.
undine_12_f000041|Da trat ein langer Mann zu ihnen, der sie höflich grüßte und der Bertalden beinah vorkam wie jener Brunnenmeister in der Reichsstadt.|Da trat ein langer Mann zu ihnen, der sie höflich grüßte und der Bertalden beinah vorkam wie jener Brunnenmeister in der Reichsstadt.
undine_12_f000042|Noch unverkennbarer ward ihr die Ähnlichkeit, als Undine ihm unwillig, ja drohend zurückwinkte und er sich mit eiligen Schritten und schüttelndem Kopfe fortmachte wie damals,|Noch unverkennbarer ward ihr die Ähnlichkeit, als Undine ihm unwillig, ja drohend zurückwinkte und er sich mit eiligen Schritten und schüttelndem Kopfe fortmachte wie damals,
undine_12_f000043|worauf er in einem nahen Gebüsche verschwand.|worauf er in einem nahen Gebüsche verschwand.
undine_12_f000044|Undine aber sagte: Fürchte dich nicht, liebes Bertaldchen; diesmal soll dir der häßliche Brunnenmeister nichts zuleide tun.|Undine aber sagte: Fürchte dich nicht, liebes Bertaldchen; diesmal soll dir der häßliche Brunnenmeister nichts zuleide tun.
undine_12_f000045|Und damit erzählte sie ihr die ganze Geschichte ausführlich, und auch wer sie selbst sei, und wie Bertalda von den Fischersleuten weg, Undine aber dahin gekommen war.|Und damit erzählte sie ihr die ganze Geschichte ausführlich, und auch wer sie selbst sei, und wie Bertalda von den Fischersleuten weg, Undine aber dahin gekommen war.
undine_12_f000046|Die Jungfrau entsetzte sich anfänglich vor diesen Reden; sie glaubte, ihre Freundin sei von einem schnellen Wahnsinn befallen.|Die Jungfrau entsetzte sich anfänglich vor diesen Reden; sie glaubte, ihre Freundin sei von einem schnellen Wahnsinn befallen.
undine_12_f000047|Aber mehr und mehr überzeugte sie sich, daß alles wahr sei an Undinens zusammenhängenden Worten, die zu den bisherigen Begebenheiten so gut paßten,|Aber mehr und mehr überzeugte sie sich, daß alles wahr sei an Undinens zusammenhängenden Worten, die zu den bisherigen Begebenheiten so gut paßten,
undine_12_f000048|und noch mehr an dem innern Gefühl, mit welchem sich die Wahrheit uns kundzugeben nie ermangelt.|und noch mehr an dem innern Gefühl, mit welchem sich die Wahrheit uns kundzugeben nie ermangelt.
undine_12_f000049|Es war ihr seltsam, daß sie nun selbst wie mitten in einem von den Märchen lebe, die sie sonst nur erzählen gehört. Sie starrte Undinen mit Ehrfurcht an,|Es war ihr seltsam, daß sie nun selbst wie mitten in einem von den Märchen lebe, die sie sonst nur erzählen gehört. Sie starrte Undinen mit Ehrfurcht an,
undine_12_f000050|konnte sich aber eines Schauders, der zwischen sie und ihre Freundin trat, nicht mehr erwehren und mußte sich beim Abendbrot sehr darüber wundern,|konnte sich aber eines Schauders, der zwischen sie und ihre Freundin trat, nicht mehr erwehren und mußte sich beim Abendbrot sehr darüber wundern,
undine_12_f000051|wie der Ritter gegen ein Wesen so verliebt und freundlich tat, welches ihr seit den letzten Entdeckungen mehr gespenstisch als menschlich vorkam.|wie der Ritter gegen ein Wesen so verliebt und freundlich tat, welches ihr seit den letzten Entdeckungen mehr gespenstisch als menschlich vorkam.
undine_12_f000052|Ende des Zwölftes Kapitels.|Ende des Zwölftes Kapitels.
undine_13_f000001|Dreizehntes Kapitel von Undine von Friedrich de la Motte Fouque.|Dreizehntes Kapitel von Undine von Friedrich de la Motte Fouque.
undine_13_f000002|Diese librivox Aufnahme ist in der publik domain.|Diese librivox Aufnahme ist in der publik domain.
undine_13_f000003|Wie sie auf Burg Ringstetten lebten|Wie sie auf Burg Ringstetten lebten
undine_13_f000004|Der diese Geschichte aufschreibt, weil sie ihm das Herz bewegt und weil er wünscht, daß sie auch andern ein Gleiches tun möge, bittet dich, lieber Leser, um eine Gunst.|Der diese Geschichte aufschreibt, weil sie ihm das Herz bewegt und weil er wünscht, daß sie auch andern ein Gleiches tun möge, bittet dich, lieber Leser, um eine Gunst.
undine_13_f000005|Sieh es ihm nach, wenn er jetzt über einen ziemlich langen Zeitraum mit kurzen Worten hingeht und dir nur im allgemeinen sagt, was sich darin begeben hat.|Sieh es ihm nach, wenn er jetzt über einen ziemlich langen Zeitraum mit kurzen Worten hingeht und dir nur im allgemeinen sagt, was sich darin begeben hat.
undine_13_f000006|Er weiß wohl, daß man es recht kunstgemäß und Schritt vor Schritt entwickeln könnte, wie Huldbrands Gemüt begann, sich von Undinen ab- und Bertalden zuzuwenden,|Er weiß wohl, daß man es recht kunstgemäß und Schritt vor Schritt entwickeln könnte, wie Huldbrands Gemüt begann, sich von Undinen ab- und Bertalden zuzuwenden,
undine_13_f000007|wie Bertalda dem jungen Mann mit glühender Liebe immer mehr entgegenkam und er und sie die arme Ehefrau als ein fremdartiges Wesen mehr zu fürchten als zu bemitleiden schienen,|wie Bertalda dem jungen Mann mit glühender Liebe immer mehr entgegenkam und er und sie die arme Ehefrau als ein fremdartiges Wesen mehr zu fürchten als zu bemitleiden schienen,
undine_13_f000008|wie Undine weinte und ihre Tränen Gewissensbisse in des Ritters Herzen anregten, ohne jedoch die alte Liebe zu erwecken, so daß er ihr wohl bisweilen freundlich tat,|wie Undine weinte und ihre Tränen Gewissensbisse in des Ritters Herzen anregten, ohne jedoch die alte Liebe zu erwecken, so daß er ihr wohl bisweilen freundlich tat,
undine_13_f000009|aber ein kalter Schauer ihn bald von ihr weg und dem Menschenkinde Bertalda entgegentrieb – man könnte dies alles, weiß der Schreiber, ordentlich ausführen,|aber ein kalter Schauer ihn bald von ihr weg und dem Menschenkinde Bertalda entgegentrieb - man könnte dies alles, weiß der Schreiber, ordentlich ausführen,
