tom_sawyer_01_f000001|Vorwort des Autors.|Vorwort des Autors.
tom_sawyer_07_f000101|Eins rollte er zusammen und schob es in seine Tasche, das andere tat er in Joes Hut und legte diesen in einiger Entfernung von seinem Eigentümer hin.|Eins rollte er zusammen und schob es in seine Tasche, das andere tat er in Joes Hut und legte diesen in einiger Entfernung von seinem Eigentümer hin.
tom_sawyer_07_f000102|In den Hut tat er dann noch gewisse Schulbuben-Kostbarkeiten von fast unschätzbarem Wert, darunter ein Stück Kreide,|In den Hut tat er dann noch gewisse Schulbuben-Kostbarkeiten von fast unschätzbarem Wert, darunter ein Stück Kreide,
tom_sawyer_07_f000103|einen Klumpen Federharz, drei Angelhaken und eine jener Art Marbeln, die als so gut wie Kristall bekannt sind.|einen Klumpen Federharz, drei Angelhaken und eine jener Art Marbeln, die als so gut wie Kristall bekannt sind.
tom_sawyer_07_f000104|Dann schlich er auf den Zehen vorsichtig zwischen den Bäumen hindurch, bis er außer Hörweite zu sein glaubte,|Dann schlich er auf den Zehen vorsichtig zwischen den Bäumen hindurch, bis er außer Hörweite zu sein glaubte,
tom_sawyer_07_f000105|und dann setzte er sich in scharfen Trab in der Richtung nach der Sandbank zu.|und dann setzte er sich in scharfen Trab in der Richtung nach der Sandbank zu.
tom_sawyer_07_f000106|Fünfzehntes Kapitel.|Fünfzehntes Kapitel.
tom_sawyer_07_f000107|Wenige Minuten später befand sich Tom im seichten Wasser der Sandbank, der Illinois-Küste zuwatend.|Wenige Minuten später befand sich Tom im seichten Wasser der Sandbank, der Illinois-Küste zuwatend.
tom_sawyer_07_f000108|Bevor ihm die Flut bis zur Hälfte des Körpers reichte, war er schon halb drüben.|Bevor ihm die Flut bis zur Hälfte des Körpers reichte, war er schon halb drüben.
tom_sawyer_07_f000109|Die Strömung erlaubte jetzt kein Waten mehr; so machte er sich zuversichtlich daran, die letzten hundert Meter schwimmend zurückzulegen.|Die Strömung erlaubte jetzt kein Waten mehr; so machte er sich zuversichtlich daran, die letzten hundert Meter schwimmend zurückzulegen.
tom_sawyer_07_f000110|Er schwamm querüber, aber bald wurde er stärker stromabwärts getrieben, als er gedacht hatte.|Er schwamm querüber, aber bald wurde er stärker stromabwärts getrieben, als er gedacht hatte.
tom_sawyer_07_f000111|Indessen, er erreichte die Küste schließlich, trieb an ihr entlang und fand eine niedrige Stelle, wo er hinauskletterte.|Indessen, er erreichte die Küste schließlich, trieb an ihr entlang und fand eine niedrige Stelle, wo er hinauskletterte.
tom_sawyer_07_f000112|Er legte die Hand auf die Tasche, fand, daß seine Baumrinde darin wohlgeborgen sei und schlug sich dann mit triefenden Kleidern durch den Wald, der Küste folgend.|Er legte die Hand auf die Tasche, fand, daß seine Baumrinde darin wohlgeborgen sei und schlug sich dann mit triefenden Kleidern durch den Wald, der Küste folgend.
tom_sawyer_07_f000113|Kurz vor 10 Uhr kam er auf einen freien Platz dem Dorfe gegenüber und erblickte das Dampfboot im Schatten der Bäume und des hohen Ufers liegend.|Kurz vor zehn Uhr kam er auf einen freien Platz dem Dorfe gegenüber und erblickte das Dampfboot im Schatten der Bäume und des hohen Ufers liegend.
tom_sawyer_07_f000114|Alles war totenstill unter den funkelnden Sternen.|Alles war totenstill unter den funkelnden Sternen.
tom_sawyer_07_f000115|Er kroch unter einen Ufervorsprung, tauchte ins Wasser, tat schwimmend drei oder vier Stöße und kletterte in das Boot,|Er kroch unter einen Ufervorsprung, tauchte ins Wasser, tat schwimmend drei oder vier Stöße und kletterte in das Boot,
tom_sawyer_07_f000116|welches, wie es sich gehörte, am Stern des Dampfbootes befestigt war.|welches, wie es sich gehörte, am Stern des Dampfbootes befestigt war.
tom_sawyer_07_f000117|Er legte sich unter die Bank und wartete mit Herzklopfen.|Er legte sich unter die Bank und wartete mit Herzklopfen.
tom_sawyer_07_f000118|Plötzlich schlug die blecherne Glocke an, und eine Stimme gab Befehl, abzustoßen.|Plötzlich schlug die blecherne Glocke an, und eine Stimme gab Befehl, abzustoßen.
tom_sawyer_07_f000119|Ein paar Minuten später wurde die Spitze des Bootes vom Dampfer stark angezogen, und die Reise hatte begonnen.|Ein paar Minuten später wurde die Spitze des Bootes vom Dampfer stark angezogen, und die Reise hatte begonnen.
tom_sawyer_07_f000120|Tom fühlte sich erhoben durch seinen Erfolg - er wußte, daß es die letzte Fahrt sei, die das Boot an diesem Abend machte.|Tom fühlte sich erhoben durch seinen Erfolg - er wußte, daß es die letzte Fahrt sei, die das Boot an diesem Abend machte.
tom_sawyer_07_f000121|Nach langen zwölf bis fünfzehn Minuten stoppte das Fahrzeug, und Tom glitt über Bord und schwamm im Dunkeln dem Ufer zu;|Nach langen zwölf bis fünfzehn Minuten stoppte das Fahrzeug, und Tom glitt über Bord und schwamm im Dunkeln dem Ufer zu;
tom_sawyer_07_f000122|er landete fünfzig Meter unterhalb - zur Sicherheit vor etwaigen herumstreichenden Bekannten.|er landete fünfzig Meter unterhalb - zur Sicherheit vor etwaigen herumstreichenden Bekannten.
tom_sawyer_07_f000123|Er lief durch wenig belebte Straßen und befand sich bald am hinteren Zaun seiner Tante.|Er lief durch wenig belebte Straßen und befand sich bald am hinteren Zaun seiner Tante.
tom_sawyer_07_f000124|Er kletterte hinüber, näherte sich behutsam dem Haus und spähte durch das Wohnzimmerfenster, da er dort Licht sah.|Er kletterte hinüber, näherte sich behutsam dem Haus und spähte durch das Wohnzimmerfenster, da er dort Licht sah.
tom_sawyer_07_f000125|Da saßen Tante Polly, Sid, Mary und Joe Harpers Mutter, dicht zusammengedrängt, eifrig schwatzend.|Da saßen Tante Polly, Sid, Mary und Joe Harpers Mutter, dicht zusammengedrängt, eifrig schwatzend.
tom_sawyer_07_f000126|Sie saßen am Bett, und dieses stand zwischen ihnen und der Tür.|Sie saßen am Bett, und dieses stand zwischen ihnen und der Tür.
tom_sawyer_07_f000127|Tom schlich vorsichtig zur Tür und begann vorsichtig den Drücker zu drücken.|Tom schlich vorsichtig zur Tür und begann vorsichtig den Drücker zu drücken.
tom_sawyer_07_f000128|Dann drückte er kräftiger, und die Tür knarrte. Er setzte seine Tätigkeit fort und hielt jedesmal inne, sobald es knarrte, bis er glaubte, auf den Knien durchkriechen zu können.|Dann drückte er kräftiger, und die Tür knarrte. Er setzte seine Tätigkeit fort und hielt jedesmal inne, sobald es knarrte, bis er glaubte, auf den Knien durchkriechen zu können.
tom_sawyer_07_f000129|Und so steckte er den Kopf hinein, und versuchte es vorsichtig.|Und so steckte er den Kopf hinein, und versuchte es vorsichtig.
tom_sawyer_07_f000130|Warum flackert das Licht so? sagte Tante Polly. Tom beeilte sich.|Warum flackert das Licht so? sagte Tante Polly. Tom beeilte sich.
tom_sawyer_07_f000131|Ich glaub gar, die Tür ist offen! Wahrhaftig, sie ist offen! Hören denn die Gespenstergeschichten heut gar nicht auf! Gehe hin und mach sie zu, Sid!|Ich glaub gar, die Tür ist offen! Wahrhaftig, sie ist offen! Hören denn die Gespenstergeschichten heut gar nicht auf! Gehe hin und mach sie zu, Sid!
tom_sawyer_07_f000132|Im selben Moment verschwand Tom unterm Bett. Er lag und verschnaufte ene Zeitlang, und dann kroch er so weit vor, daß er Tante Pollys Füße fast berühren konnte.|Im selben Moment verschwand Tom unterm Bett. Er lag und verschnaufte ene Zeitlang, und dann kroch er so weit vor, daß er Tante Pollys Füße fast berühren konnte.
tom_sawyer_07_f000133|Aber, wie ich sagte, fing Tante Polly wieder an, er war nicht schlecht, nur - wie soll ich sagen - gerissen! Nur ein bißchen unbesonnen, wissen Sie, und gedankenlos-flüchtig.|Aber, wie ich sagte, fing Tante Polly wieder an, er war nicht schlecht, nur - wie soll ich sagen - gerissen! Nur ein bißchen unbesonnen, wissen Sie, und gedankenlos-flüchtig.
tom_sawyer_07_f000134|Er dachte nie mehr nach als ein Füllen. Bös meinte eres nie, er war der gutherzigste Junge, der jemals dagewesen ist, und sie begann zu weinen.|Er dachte nie mehr nach als ein Füllen. Bös meinte eres nie, er war der gutherzigste Junge, der jemals dagewesen ist, und sie begann zu weinen.
tom_sawyer_07_f000135|Grade so wares mit meinem Joe - immer voll von Dummheiten und zu jedem Unfug aufgelegt;|Grade so wares mit meinem Joe - immer voll von Dummheiten und zu jedem Unfug aufgelegt;
tom_sawyer_07_f000136|und so selbstlos und gutmütig, wie nur einer sein kann - und es schmerzt mich schrecklich, zu denken,|und so selbstlos und gutmütig, wie nur einer sein kann - und es schmerzt mich schrecklich, zu denken,
tom_sawyer_07_f000137|daß ich hingehen konnte und ihm eine runterhauen, weil er die Milch genommen haben sollte, und nicht daran dachte,|daß ich hingehen konnte und ihm eine runterhauen, weil er die Milch genommen haben sollte, und nicht daran dachte,
tom_sawyer_07_f000138|daß ich sie als sauer selbst fortgegossen hatte - und ich soll ihn nie wiedersehen in dieser Welt, nie, nie, nie - armer verlassener Junge! Mrs.|daß ich sie als sauer selbst fortgegossen hatte - und ich soll ihn nie wiedersehen in dieser Welt, nie, nie, nie - armer verlassener Junge! Mrs.
tom_sawyer_07_f000139|Harper schluchzte, als solle ihr das Herz brechen.|Harper schluchzte, als solle ihr das Herz brechen.
tom_sawyer_07_f000140|Ich hoffe, Tom ist besser dran, wo er ist, sagte Sid, aber wenn er in manchen Dingen hier besser gewesen wäre - Sid!|Ich hoffe, Tom ist besser dran, wo er ist, sagte Sid, aber wenn er in manchen Dingen hier besser gewesen wäre - Sid!
tom_sawyer_07_f000141|Tom fühlte ordentlich den strengen Blick aus den Augen der alten Dame, obwohl er sie nicht sehen konnte.|Tom fühlte ordentlich den strengen Blick aus den Augen der alten Dame, obwohl er sie nicht sehen konnte.
tom_sawyer_07_f000142|Nicht ein Wort gegen meinen Tom, nun er fort ist! Gott wird sich seiner annehmen, sorg du nur für dich selbst, mein Lieber.|Nicht ein Wort gegen meinen Tom, nun er fort ist! Gott wird sich seiner annehmen, sorg du nur für dich selbst, mein Lieber.
tom_sawyer_07_f000143|O, Mrs. Harper, ich weiß nicht, wie iches ohne ihn aushalten soll - ich weiß nicht, wie iches ohne ihn aushalten soll!|O, Mrs. Harper, ich weiß nicht, wie iches ohne ihn aushalten soll - ich weiß nicht, wie iches ohne ihn aushalten soll!
tom_sawyer_07_f000144|Er war so anhänglich an mich - obwohl er mein altes Herz zuweilen fast gebrochen hätte!|Er war so anhänglich an mich - obwohl er mein altes Herz zuweilen fast gebrochen hätte!
tom_sawyer_07_f000145|Der Herr hates gegeben, der Herr hates genommen, der Name des Herrn sei gelobt!|Der Herr hates gegeben, der Herr hates genommen, der Name des Herrn sei gelobt!
tom_sawyer_07_f000146|Aber es ist so hart - o, es ist so hart! Noch letzten Samstag ließ Joe einen Schwärmer mir unter der Nase platzen, und ich schlug ihn nieder.|Aber es ist so hart - o, es ist so hart! Noch letzten Samstag ließ Joe einen Schwärmer mir unter der Nase platzen, und ich schlug ihn nieder.
tom_sawyer_07_f000147|Damals wußte ich freilich nicht, wie bald - o, wenn iches noch mal erleben könnte, ich würde ihn dafür umarmen und segnen.|Damals wußte ich freilich nicht, wie bald - o, wenn iches noch mal erleben könnte, ich würde ihn dafür umarmen und segnen.
tom_sawyer_07_f000148|Ja, ja, ich kannes mir denken, was Sie fühlen, Mrs.|Ja, ja, ich kannes mir denken, was Sie fühlen, Mrs.
tom_sawyer_07_f000149|Harper, ganz genau weiß ich, was Sie fühlen! es ist noch nicht länger als gestern abend, da nahm Tom die Katze und füllte sie voll,|Harper, ganz genau weiß ich, was Sie fühlen! es ist noch nicht länger als gestern abend, da nahm Tom die Katze und füllte sie voll,
tom_sawyer_07_f000150|Schmerzenstötere, und ich dachte, das Tier würde das Haus einreißen!|Schmerzenstötere, und ich dachte, das Tier würde das Haus einreißen!
tom_sawyer_07_f000151|Und - Gott verzeihe mir - ich gab ihm eins mit dem Fingerhut auf den Kopf - armer Junge, armer toter Junge! Aber er ist jetzt raus aus allen Schmerzen.|Und - Gott verzeihe mir - ich gab ihm eins mit dem Fingerhut auf den Kopf - armer Junge, armer toter Junge! Aber er ist jetzt raus aus allen Schmerzen.
tom_sawyer_07_f000152|Und die letzten Worte, die ich von ihm gehört habe, waren - Aber diese Erinnerung war zu viel für die alte Dame, und sie brach völlig zusammen.|Und die letzten Worte, die ich von ihm gehört habe, waren - Aber diese Erinnerung war zu viel für die alte Dame, und sie brach völlig zusammen.
tom_sawyer_07_f000153|Tom schluchzte jetzt selbst - mehr aus Mitleid mit sich selbst als mit sonst jemand.|Tom schluchzte jetzt selbst - mehr aus Mitleid mit sich selbst als mit sonst jemand.
tom_sawyer_07_f000154|Er konnte auch Mary weinen und von Zeit zu Zeit ein freundliches Wort über sich sprechen hören.|Er konnte auch Mary weinen und von Zeit zu Zeit ein freundliches Wort über sich sprechen hören.
tom_sawyer_07_f000155|Er fing an, eine bessere Meinung als bisher von sich selbst zu haben.|Er fing an, eine bessere Meinung als bisher von sich selbst zu haben.
tom_sawyer_07_f000156|Schließlich war er durch seiner Tante Kummer so tief ergriffen, daß er drauf und dran war, unter dem Bett hervorzukommen und sie mit seiner Wiederkunft freudig zu überraschen,|Schließlich war er durch seiner Tante Kummer so tief ergriffen, daß er drauf und dran war, unter dem Bett hervorzukommen und sie mit seiner Wiederkunft freudig zu überraschen,
tom_sawyer_07_f000157|und der Theatereffekt war ganz nach seinem Geschmack, aber er widerstand doch und verhielt sich still.|und der Theatereffekt war ganz nach seinem Geschmack, aber er widerstand doch und verhielt sich still.
tom_sawyer_07_f000158|Er fuhr fort zu lauschen und setzte sich aus allerhand Andeutungen zusammen, daß man erst angenommen habe, die Burschen seien beim Schwimmen umgekommen;|Er fuhr fort zu lauschen und setzte sich aus allerhand Andeutungen zusammen, daß man erst angenommen habe, die Burschen seien beim Schwimmen umgekommen;
tom_sawyer_07_f000159|dann wurde das kleine Floß vermißt; dann verkündeten ein paar Jungen, die Ausreißer hätten versprochen, das Dorf solle bald von ihnen hören .|dann wurde das kleine Floß vermißt; dann verkündeten ein paar Jungen, die Ausreißer hätten versprochen, das Dorf solle bald von ihnen hören .
tom_sawyer_07_f000160|Die weisen Häupter hatten dies und das zusammengereimt und erklärt, die Strolche seien auf diesem Floß davongefahren und würden bald in der nächsten Stadt unterwärts anlangen.|Die weisen Häupter hatten dies und das zusammengereimt und erklärt, die Strolche seien auf diesem Floß davongefahren und würden bald in der nächsten Stadt unterwärts anlangen.
tom_sawyer_07_f000161|Aber gegen Mittag war das Floß gefunden worden, ungefähr fünf oder sechs Meilen unterhalb des Dorfes an der Missouriküste, und da hatte man die Hoffnung aufgegeben;|Aber gegen Mittag war das Floß gefunden worden, ungefähr fünf oder sechs Meilen unterhalb des Dorfes an der Missouriküste, und da hatte man die Hoffnung aufgegeben;
tom_sawyer_07_f000162|sie mußten ertrunken sein, denn sonst hätte der Hunger sie bei Einbruch der Nacht nach Haus getrieben - wenn nicht schon früher.|sie mußten ertrunken sein, denn sonst hätte der Hunger sie bei Einbruch der Nacht nach Haus getrieben - wenn nicht schon früher.
tom_sawyer_07_f000163|Man glaubte, die Suche nach den Leichen sei darum erfolglos geblieben, weil sich das Unglück in der Mitte des Stromes zugetragen habe,|Man glaubte, die Suche nach den Leichen sei darum erfolglos geblieben, weil sich das Unglück in der Mitte des Stromes zugetragen habe,
tom_sawyer_07_f000164|denn die Jungen als gute Schwimmer würden sich sonst ans Ufer gerettet haben.|denn die Jungen als gute Schwimmer würden sich sonst ans Ufer gerettet haben.
tom_sawyer_07_f000165|Das war Mittwoch abend. Wenn sie bis Samstag noch nicht gefunden sein würden, müßte man alle Hoffnung aufgeben,|Das war Mittwoch abend. Wenn sie bis Samstag noch nicht gefunden sein würden, müßte man alle Hoffnung aufgeben,
tom_sawyer_07_f000166|und der Trauergottesdienst sollte dann am Sonntag morgen stattfinden. Tom schauderte.|und der Trauergottesdienst sollte dann am Sonntag morgen stattfinden. Tom schauderte.
tom_sawyer_07_f000167|Mrs. Harper wünschte mit weinerlicher Stimme Gute Nacht und rüstete sich zum Abmarsch.|Mrs. Harper wünschte mit weinerlicher Stimme Gute Nacht und rüstete sich zum Abmarsch.
tom_sawyer_07_f000168|Dann, mit plötzlichem Impuls, umarmten sich die beiden verwaisten Frauen, weinten sich nach Herzenslust aus und trennten sich.|Dann, mit plötzlichem Impuls, umarmten sich die beiden verwaisten Frauen, weinten sich nach Herzenslust aus und trennten sich.
