das_letzte_marchen_004_f000001|Abschnitt 4 von das letzte Märchen vom Paul Keller.|Abschnitt vier von das letzte Marchen vom Paul Keller.
das_letzte_marchen_009_f000367|Die Strudel glätten sich unter ihrem Kiel, und die weißen Wasserrosen weichen zur Seite.|Die Strudel glätten sich unter ihrem Kiel, und die weißen Wasserrosen weichen zur Seite.
das_letzte_marchen_009_f000368|Am Ufer bleibt das Totenschiff halten.|Am Ufer bleibt das Totenschiff halten.
das_letzte_marchen_009_f000369|Da heben die vier Priester den Thronsessel des Königs auf, tragen ihn samt dem Toten hinab und setzen ihn in die Gondel.|Da heben die vier Priester den Thronsessel des Königs auf, tragen ihn samt dem Toten hinab und setzen ihn in die Gondel.
das_letzte_marchen_009_f000370|Wieder ist es ganz still, und wieder singen die vier Priester ein Lied.|Wieder ist es ganz still, und wieder singen die vier Priester ein Lied.
das_letzte_marchen_009_f000371|Da sie geendet, stößt die Gondel ab vom Ufer und fährt mit dem toten König der Brücke zu.|Da sie geendet, stößt die Gondel ab vom Ufer und fährt mit dem toten König der Brücke zu.
das_letzte_marchen_009_f000372|Ein einziger Schmerzensschrei hallt durch die heilige Stadt.|Ein einziger Schmerzensschrei hallt durch die heilige Stadt.
das_letzte_marchen_009_f000373|Der tote, einsame Schiffer aber fährt dem dunkeln Felsentore zu, das hinter der Brücke düster aufragt und das hinüberführt ins große, jenseitige Reich, das einen Eingang, aber keinen Ausgang hat.|Der tote, einsame Schiffer aber fährt dem dunkeln Felsentore zu, das hinter der Brücke düster aufragt und das hinüberführt ins große, jenseitige Reich, das einen Eingang, aber keinen Ausgang hat.
das_letzte_marchen_009_f000374|Zum großen, letzten Hafen steuert der Märchenkönig!|Zum großen, letzten Hafen steuert der Märchenkönig!
das_letzte_marchen_009_f000375|Drinnen, drinnen sind Millionen schwarzer Gondeln.|Drinnen, drinnen sind Millionen schwarzer Gondeln.
das_letzte_marchen_009_f000376|Nun bahnt sich auch die seine ihren Weg und sucht sich eine stille Ecke, da sie ankert.|Nun bahnt sich auch die seine ihren Weg und sucht sich eine stille Ecke, da sie ankert.
das_letzte_marchen_009_f000377|Ende von Abschnitt 9.|Ende von Abschnitt neun.
das_letzte_marchen_008_f000001|Abschnitt 8 von das letzte Märchen vom Paul Keller.|Abschnitt acht von das letzte Marchen vom Paul Keller.
das_letzte_marchen_008_f000002|Diese Librivox Aufnahme ist in der public Domain.|Diese Librivox Aufnahme ist in der public Domain.
das_letzte_marchen_008_f000003|Frühling.|Frühling.
das_letzte_marchen_008_f000004|Der April war gekommen.|Der April war gekommen.
das_letzte_marchen_008_f000005|Ich habe nie zu den Leuten gehört, die auf den April schimpfen.|Ich habe nie zu den Leuten gehört, die auf den April schimpfen.
das_letzte_marchen_008_f000006|Es ist unrecht.|Es ist unrecht.
das_letzte_marchen_008_f000007|Der Bursche benimmt sich so, wie sich einer benehmen muß, dem eben der erste Bart sproßt und der voll ungebändigter Kraft und voll unverstandener Triebe steckt.|Der Bursche benimmt sich so, wie sich einer benehmen muß, dem eben der erste Bart sproßt und der voll ungebändigter Kraft und voll unverstandener Triebe steckt.
das_letzte_marchen_008_f000008|Die peinlich-süßen Lümmeljahre!|Die peinlich-süßen Lümmeljahre!
das_letzte_marchen_008_f000009|Heute feierlich mild mit abgeklärtem Horizont wie ein Mann sonniger Reife, morgen ein ungezogener Junge, der mit Schmutz wirft.|Heute feierlich mild mit abgeklärtem Horizont wie ein Mann sonniger Reife, morgen ein ungezogener Junge, der mit Schmutz wirft.
das_letzte_marchen_008_f000010|April!|April!
das_letzte_marchen_008_f000011|Frühling droben!|Frühling droben!
das_letzte_marchen_008_f000012|Hoch über mir, über diesem dunklen Himmel blühten nun die Veilchen, flogen auf milden Südwindsschwingen die Vögel heim zum kleinen Nest, klangen die Osterglocken, spielten frohe Kinder auf der Straße.|Hoch über mir, über diesem dunklen Himmel blühten nun die Veilchen, flogen auf milden Südwindsschwingen die Vögel heim zum kleinen Nest, klangen die Osterglocken, spielten frohe Kinder auf der Straße.
das_letzte_marchen_008_f000013|Schien die Sonne!|Schien die Sonne!
das_letzte_marchen_008_f000014|Von allem Menschenglück habe ich im fremden Land nichts so bitter entbehrt als den Sonnenschein.|Von allem Menschenglück habe ich im fremden Land nichts so bitter entbehrt als den Sonnenschein.
das_letzte_marchen_008_f000015|Denn Sonnenschein ist über alle Märchenpracht, ist das lieblichste Wunder, die holdeste Gabe.|Denn Sonnenschein ist über alle Märchenpracht, ist das lieblichste Wunder, die holdeste Gabe.
das_letzte_marchen_008_f000016|O, einmal hineinspringen können in seine glitzernden, warmen Wellen, mich einmal einspinnen lassen von seinem fliegenden Gold.|O, einmal hineinspringen können in seine glitzernden, warmen Wellen, mich einmal einspinnen lassen von seinem fliegenden Gold.
das_letzte_marchen_008_f000017|Einmal die Mutter sehen, die große, gütige Allmutter!|Einmal die Mutter sehen, die große, gütige Allmutter!
das_letzte_marchen_008_f000018|Nun, da droben der Frühling kam, fühlte ich, daß ich in der Verbannung war, und meine Seele regte die gefangenen Schwingen wie der kleine Vogel im Käfig, wenn ihm sein unruhiges Herz sagt, draußen sei Lenz.|Nun, da droben der Frühling kam, fühlte ich, daß ich in der Verbannung war, und meine Seele regte die gefangenen Schwingen wie der kleine Vogel im Käfig, wenn ihm sein unruhiges Herz sagt, draußen sei Lenz.
das_letzte_marchen_008_f000019|Ein rotes Plakat prangte an den Straßenecken der Hauptstadt.|Ein rotes Plakat prangte an den Straßenecken der Hauptstadt.
das_letzte_marchen_008_f000020|Wir Herididasufoturu von Gottes Gnaden König bestimmen auf Grund der §§ 51, 52 der Staatsverfassung und tun zu wissen, was folgt: In Anbetracht der Notlage verschiedener Gegenden und der uns zu Ohren gekommenen allgemeinen Frühlingssehnsucht ist der Winter für dieses Jahr um sechs Tage verkürzt und der Frühlingsanfang auf den fünfzehnten März festgesetzt.|Wir Herididasufoturu von Gottes Gnaden König bestimmen auf Grund der  einundfünfzig, zweiundfünfzig der Staatsverfassung und tun zu wissen, was folgt: In Anbetracht der Notlage verschiedener Gegenden und der uns zu Ohren gekommenen allgemeinen Frühlingssehnsucht ist der Winter für dieses Jahr um sechs Tage verkürzt und der Frühlingsanfang auf den fünfzehnten März festgesetzt.
das_letzte_marchen_008_f000021|Marilkaporta, den dritten März.|Marilkaporta, den dritten März.
das_letzte_marchen_008_f000022|Herididasufoturu Rex.|Herididasufoturu Rex.
das_letzte_marchen_008_f000023|Gegengezeichnet Haschakilgeruff, Minister für öffentliche Wetterangelegenheiten.|Gegengezeichnet Haschakilgeruff, Minister für öffentliche Wetterangelegenheiten.
das_letzte_marchen_008_f000024|Mich machte der Gnadenerlaß nicht glücklich.|Mich machte der Gnadenerlaß nicht glücklich.
das_letzte_marchen_008_f000025|Denn obwohl plötzlich am fünfzehnten März sämtliche Pelzmäntel unglaublich dünnen Gewandungen Platz machten und die Knaben auf allen Gassen die Kreisel springen ließen und goldene Spielmarken an die Wände warfen, ja, obwohl Stimpekrex erklärte, er habe den Schnupfen, was ihm immer passiere, wenn der Frühling käme, blieb mir die selige Lenzgewißheit aus.|Denn obwohl plötzlich am fünfzehnten März sämtliche Pelzmäntel unglaublich dünnen Gewandungen Platz machten und die Knaben auf allen Gassen die Kreisel springen ließen und goldene Spielmarken an die Wände warfen, ja, obwohl Stimpekrex erklärte, er habe den Schnupfen, was ihm immer passiere, wenn der Frühling käme, blieb mir die selige Lenzgewißheit aus.
das_letzte_marchen_008_f000026|Auch im April noch, als von unserer Redaktion bereits sieben Wagenladungen Frühlingsgedichte nach den Schuttabladeplätzen fortgeschafft worden waren.|Auch im April noch, als von unserer Redaktion bereits sieben Wagenladungen Frühlingsgedichte nach den Schuttabladeplätzen fortgeschafft worden waren.
das_letzte_marchen_008_f000027|Da kam endlich auch mir eine Frühlingsfreude.|Da kam endlich auch mir eine Frühlingsfreude.
das_letzte_marchen_008_f000028|Am neunundzwanzigsten April wurden die Maikäfer zu Berge getrieben, das heißt hinauf auf die Welt.|Am neunundzwanzigsten April wurden die Maikäfer zu Berge getrieben, das heißt hinauf auf die Welt.
das_letzte_marchen_008_f000029|Ich werde da zunächst einige aufklärende Bemerkungen über Maikäferwirtschaft machen müssen.|Ich werde da zunächst einige aufklärende Bemerkungen über Maikäferwirtschaft machen müssen.
das_letzte_marchen_008_f000030|Sie ist von der Kuhwirtschaft in einigen Dingen verschieden.|Sie ist von der Kuhwirtschaft in einigen Dingen verschieden.
das_letzte_marchen_008_f000031|Denn während sich bekanntlich die Kühe durch das Produzieren von Milch und das Hervorbringen von Kälbern beliebt und nützlich machen, sieht man es bei der Maikäferzucht mehr auf die Gewinnung von Eiern ab.|Denn während sich bekanntlich die Kühe durch das Produzieren von Milch und das Hervorbringen von Kälbern beliebt und nützlich machen, sieht man es bei der Maikäferzucht mehr auf die Gewinnung von Eiern ab.
das_letzte_marchen_008_f000032|Maikäfereter sind in Herididasufoturanien eine Delikatesse.|Maikäfereter sind in Herididasufoturanien eine Delikatesse.
das_letzte_marchen_008_f000033|Die Mandel hundertzwanzig Mark.|Die Mandel hundertzwanzig Mark.
das_letzte_marchen_008_f000034|Trinkeier teuerer.|Trinkeier teuerer.
das_letzte_marchen_008_f000035|Reiche Maikäferbauern halten bis zehntausend Stück Vieh.|Reiche Maikäferbauern halten bis zehntausend Stück Vieh.
das_letzte_marchen_008_f000036|Mehr läßt sich im Kleinbetriebe nicht gut übersehen.|Mehr läßt sich im Kleinbetriebe nicht gut übersehen.
das_letzte_marchen_008_f000037|Meine bedeutenden naturkundlichen Vorkenntnisse erleichterten mir das Verständnis der Maikäferwirtschaft sehr.|Meine bedeutenden naturkundlichen Vorkenntnisse erleichterten mir das Verständnis der Maikäferwirtschaft sehr.
das_letzte_marchen_008_f000038|Ich wußte nämlich, daß Maikäfer nicht lebendig zur Welt geboren, auch nicht von ihren Eltern aus Eiern ausgebrütet werden (was von einem Großstädter leicht vermutet werden könnte), sondern, daß sie sich in langwieriger, fast vierjähriger Metamorphose aus Ei, Larve und Puppe zum Insekt entwickeln.|Ich wußte nämlich, daß Maikäfer nicht lebendig zur Welt geboren, auch nicht von ihren Eltern aus Eiern ausgebrütet werden was von einem Großstädter leicht vermutet werden könnte, sondern, daß sie sich in langwieriger, fast vierjähriger Metamorphose aus Ei, Larve und Puppe zum Insekt entwickeln.
das_letzte_marchen_008_f000039|Also staunte ich nicht, in den Meiereien oft bis dreißigtausend Engerlinge anzutreffen.|Also staunte ich nicht, in den Meiereien oft bis dreißigtausend Engerlinge anzutreffen.
das_letzte_marchen_008_f000040|Diese gefräßigen Tiere verschlingen eine riesige Menge Futter.|Diese gefräßigen Tiere verschlingen eine riesige Menge Futter.
das_letzte_marchen_008_f000041|Ihr Nutzen ist gering.|Ihr Nutzen ist gering.
das_letzte_marchen_008_f000042|Aus der bei ihren zahlreichen Häutungen abgeworfenen Haut werden Portemonnais, Einbände von Photographiealbums und ähnliche Dinge gefertigt, aber das bringt nicht viel ein, denn das Leder ist billig.|Aus der bei ihren zahlreichen Häutungen abgeworfenen Haut werden Portemonnais, Einbände von Photographiealbums und ähnliche Dinge gefertigt, aber das bringt nicht viel ein, denn das Leder ist billig.
das_letzte_marchen_008_f000043|Im November des vierten Jahres schlüpfen aus den Puppen die fertigen Maikäfer aus.|Im November des vierten Jahres schlüpfen aus den Puppen die fertigen Maikäfer aus.
das_letzte_marchen_008_f000044|Sie sehen anfangs grau aus und sind sehr weich und furchtsam.|Sie sehen anfangs grau aus und sind sehr weich und furchtsam.
das_letzte_marchen_008_f000045|Da sie aber erst im April des nächsten Jahres zu Berge getrieben werden, bleibt ihnen Zeit, braun, stark und mutig zu werden.|Da sie aber erst im April des nächsten Jahres zu Berge getrieben werden, bleibt ihnen Zeit, braun, stark und mutig zu werden.
das_letzte_marchen_008_f000046|Auch werden sie in einem sechsmonatlichen Kursus auf ihre irdische Mission vorbereitet.|Auch werden sie in einem sechsmonatlichen Kursus auf ihre irdische Mission vorbereitet.
das_letzte_marchen_008_f000047|Da ich mich für den Maikäferaustrieb lebhaft interessierte und meine Frühlingssehnsucht sich bis zum schmerzlichen Heimweh gesteigert hatte, richtete ich an den König das untertänigste Gesuch, mir die Beteiligung bei einem Austrieb und einen kurzen Aufenthalt auf der Oberwelt zu gestatten.|Da ich mich für den Maikäferaustrieb lebhaft interessierte und meine Frühlingssehnsucht sich bis zum schmerzlichen Heimweh gesteigert hatte, richtete ich an den König das untertänigste Gesuch, mir die Beteiligung bei einem Austrieb und einen kurzen Aufenthalt auf der Oberwelt zu gestatten.
das_letzte_marchen_008_f000048|Ich bekam die Erlaubnis, jedoch mit der Einschränkung, daß ich erst nach Sonnenuntergang die Oberwelt betreten dürfe und sie schon vor dem nächsten Sonnenaufgang bereits wieder verlassen müsse.|Ich bekam die Erlaubnis, jedoch mit der Einschränkung, daß ich erst nach Sonnenuntergang die Oberwelt betreten dürfe und sie schon vor dem nächsten Sonnenaufgang bereits wieder verlassen müsse.
das_letzte_marchen_008_f000049|So konnte ich die Sonne nicht sehen.|So konnte ich die Sonne nicht sehen.
das_letzte_marchen_008_f000050|Der König war klug; er fürchtete wohl, ich würde nicht wiederkommen, wenn ich, ein Sonnenkind, das glänzende Gestirn des Tages erst wieder einmal gesehen hätte.|Der König war klug; er fürchtete wohl, ich würde nicht wiederkommen, wenn ich, ein Sonnenkind, das glänzende Gestirn des Tages erst wieder einmal gesehen hätte.
das_letzte_marchen_008_f000051|Aber der Trost war nahe am Leide.|Aber der Trost war nahe am Leide.
das_letzte_marchen_008_f000052|Angelika ging mit.|Angelika ging mit.
das_letzte_marchen_008_f000053|Sie war mit der Prinzessin nach Marilkaporta zurückgekehrt, erst vor wenigen Tagen, und ich hatte sie kaum einmal gesehen.|Sie war mit der Prinzessin nach Marilkaporta zurückgekehrt, erst vor wenigen Tagen, und ich hatte sie kaum einmal gesehen.
das_letzte_marchen_008_f000054|Nun wollte die Prinzessin schon wieder fort, wollte hinauf auf die Welt.|Nun wollte die Prinzessin schon wieder fort, wollte hinauf auf die Welt.
das_letzte_marchen_008_f000055|Das unruhige kleine Herz ließ sie nicht rasten.|Das unruhige kleine Herz ließ sie nicht rasten.
das_letzte_marchen_008_f000056|Am Fuße des Kuckumontepetl, eines hohen Berges im Lande, versammelten wir uns alle am Morgen des neunundzwanzigsten April.|Am Fuße des Kuckumontepetl, eines hohen Berges im Lande, versammelten wir uns alle am Morgen des neunundzwanzigsten April.
das_letzte_marchen_008_f000057|Soweit das Auge reichte, Maikäferherden, Hunderttausende und Millionen runder, brauner, wohlgepflegter Tiere!|Soweit das Auge reichte, Maikäferherden, Hunderttausende und Millionen runder, brauner, wohlgepflegter Tiere!
das_letzte_marchen_008_f000058|Es war eine Lust, sie anzusehen; ich hatte nie zuvor einen so reichen Viehstand gesehen.|Es war eine Lust, sie anzusehen; ich hatte nie zuvor einen so reichen Viehstand gesehen.
das_letzte_marchen_008_f000059|Es war auch dem weniger geübten Auge leicht erkennbar, daß die Regierung des Landes auf Rasse unter den Tieren hielt, und ich hörte, daß sich die herididasufoturanischen Maikäferzuchtbullen großer Berühmtheit erfreuten.|Es war auch dem weniger geübten Auge leicht erkennbar, daß die Regierung des Landes auf Rasse unter den Tieren hielt, und ich hörte, daß sich die herididasufoturanischen Maikäferzuchtbullen großer Berühmtheit erfreuten.
das_letzte_marchen_008_f000060|O dieses ungeduldige, laute Brummen, dieses Hinundherschieben, Drängen, Stoßen, Ausweichen, dieses Getrappele von Millionen Füßen!|O dieses ungeduldige, laute Brummen, dieses Hinundherschieben, Drängen, Stoßen, Ausweichen, dieses Getrappele von Millionen Füßen!
das_letzte_marchen_008_f000061|Ein reizendes, vielgestaltiges Bild.|Ein reizendes, vielgestaltiges Bild.
das_letzte_marchen_008_f000062|Dicke Maikäferbauern hasteten aufgeregt hin und her.|Dicke Maikäferbauern hasteten aufgeregt hin und her.
