meraviglieduemila_01_salgari_f000001|Le meraviglie del Duemila di Emilio Salgari|Le meraviglie del Duemila di Emilio Salgari
meraviglieduemila_13_salgari_f000056|Tuttavia il Centauro subiva dei sussulti improvvisi e si trovava talvolta impotente a resistere alle raffiche.|Tuttavia il Centauro subiva dei sussulti improvvisi e si trovava talvolta impotente a resistere alle raffiche.
meraviglieduemila_13_salgari_f000057|Già più d’una volta era stato trascinato per qualche tratto verso il settentrione, nonostante gli sforzi delle ali e delle immense eliche. — Cadremo in mare?|Già più duna volta era stato trascinato per qualche tratto verso il settentrione, nonostante gli sforzi delle ali e delle immense eliche. - Cadremo in mare?
meraviglieduemila_13_salgari_f000058|— chiese Brandok, che si era collocato dietro i vetri dello scompartimento prodiero.|- chiese Brandok, che si era collocato dietro i vetri dello scompartimento prodiero.
meraviglieduemila_13_salgari_f000059|— Anche se ciò avvenisse, poco danno ne avremmo — rispose Holker. — Non andremo sott’acqua?|- Anche se ciò avvenisse, poco danno ne avremmo - rispose Holker. - Non andremo sottacqua?
meraviglieduemila_13_salgari_f000060|— Niente affatto, mio caro signore.|- Niente affatto, mio caro signore.
meraviglieduemila_13_salgari_f000061|I nostri ingegneri avevano pensato anche a simili disgrazie e vi hanno posto rimedio. — In qual modo?|I nostri ingegneri avevano pensato anche a simili disgrazie e vi hanno posto rimedio. - In qual modo?
meraviglieduemila_13_salgari_f000062|— Non avete osservato che la parte inferiore della piattaforma è quasi sferica come quella delle scialuppe e delle navi e che ha anche una chiglia?|- Non avete osservato che la parte inferiore della piattaforma è quasi sferica come quella delle scialuppe e delle navi e che ha anche una chiglia?
meraviglieduemila_13_salgari_f000063|Nell’interno vi sono delle casse d’aria le quali impediranno al Centauro di sommergersi.|Nellinterno vi sono delle casse daria le quali impediranno al Centauro di sommergersi.
meraviglieduemila_13_salgari_f000064|— Sicchè queste navi volanti si possono, all’occorrenza, trasformare in scialuppe! — esclamò Toby con stupore.|- Sicchè queste navi volanti si possono, alloccorrenza, trasformare in scialuppe! - esclamò Toby con stupore.
meraviglieduemila_13_salgari_f000065|— E perfettamente navigabili, zio, — rispose Holker — perchè la poppa nasconde entro un incavo un’elica di metallo|- E perfettamente navigabili, zio, - rispose Holker - perchè la poppa nasconde entro un incavo unelica di metallo
meraviglieduemila_13_salgari_f000066|che funziona colla stessa macchina che mette in moto le ali.|che funziona colla stessa macchina che mette in moto le ali.
meraviglieduemila_13_salgari_f000067|Come vedete nessun pericolo ci minaccia e anche calando, noi potremo giungere egualmente in Inghilterra.|Come vedete nessun pericolo ci minaccia e anche calando, noi potremo giungere egualmente in Inghilterra.
meraviglieduemila_13_salgari_f000068|— C’è da impazzire — disse Brandok.|- Cè da impazzire - disse Brandok.
meraviglieduemila_13_salgari_f000069|— Questi uomini moderni hanno pensato a tutto.|- Questi uomini moderni hanno pensato a tutto.
meraviglieduemila_13_salgari_f000070|La bufera intanto, aumentava di miglio in miglio che il Centauro guadagnava.|La bufera intanto, aumentava di miglio in miglio che il Centauro guadagnava.
meraviglieduemila_13_salgari_f000071|Il vento si era scatenato con un fragoroso accompagnamento di urli, di fischi e di muggiti|Il vento si era scatenato con un fragoroso accompagnamento di urli, di fischi e di muggiti
meraviglieduemila_13_salgari_f000072|balzando ora dal sud al nord ed ora dall’est all’ovest, come se Eolo fosse completamente impazzito.|balzando ora dal sud al nord ed ora dallest allovest, come se Eolo fosse completamente impazzito.
meraviglieduemila_13_salgari_f000073|Lo spettacolo che offriva l’oceano da quell’altezza era spaventevole e nello stesso tempo meraviglioso.|Lo spettacolo che offriva loceano da quellaltezza era spaventevole e nello stesso tempo meraviglioso.
meraviglieduemila_13_salgari_f000074|Montagne d’acqua, nere come fossero d’inchiostro e colle creste invece candidissime e quasi fosforescenti|Montagne dacqua, nere come fossero dinchiostro e colle creste invece candidissime e quasi fosforescenti
meraviglieduemila_13_salgari_f000075|si rovesciavano in tutte le direzioni, accavallandosi e rimbalzando a grande altezza.|si rovesciavano in tutte le direzioni, accavallandosi e rimbalzando a grande altezza.
meraviglieduemila_13_salgari_f000076|Si formavano abissi profondi che subito si riempivano per riaprirsi più oltre|Si formavano abissi profondi che subito si riempivano per riaprirsi più oltre
meraviglieduemila_13_salgari_f000077|e dai quali uscivano dei muggiti formidabili, prodotti dall’irrompere tumultuoso delle acque.|e dai quali uscivano dei muggiti formidabili, prodotti dallirrompere tumultuoso delle acque.
meraviglieduemila_13_salgari_f000078|Tutto il giorno il Centauro lottò vigorosamente, ora innalzandosi ed ora abbassandosi, respinto sovente fuori dalla sua rotta;|Tutto il giorno il Centauro lottò vigorosamente, ora innalzandosi ed ora abbassandosi, respinto sovente fuori dalla sua rotta;
meraviglieduemila_13_salgari_f000079|e quando cadde la sera si trovò avvolto in una nebbia così fitta, che le lampade a radium non riuscivano a romperla.|e quando cadde la sera si trovò avvolto in una nebbia così fitta, che le lampade a radium non riuscivano a romperla.
meraviglieduemila_13_salgari_f000080|— Ecco un altro pericolo e forse maggiore — disse Brandok. — Perchè? — chiese Holker.|- Ecco un altro pericolo e forse maggiore - disse Brandok. - Perchè? - chiese Holker.
meraviglieduemila_13_salgari_f000081|— Se il Centauro s’incontrasse con qualche altro vascello aereo procedente in senso inverso|- Se il Centauro sincontrasse con qualche altro vascello aereo procedente in senso inverso
meraviglieduemila_13_salgari_f000082|chi riuscirebbe a salvarsi da una collisione fra due macchine spinte colla velocità di centocinquanta chilometri all’ora? — Non temete — disse Holker.|chi riuscirebbe a salvarsi da una collisione fra due macchine spinte colla velocità di centocinquanta chilometri allora? - Non temete - disse Holker.
meraviglieduemila_13_salgari_f000083|— Ciò può avvenire in una città dove le macchine volanti sono numerosissime, in mare no. — E perchè no?|- Ciò può avvenire in una città dove le macchine volanti sono numerosissime, in mare no. - E perchè no?
meraviglieduemila_13_salgari_f000084|— Ogni macchina volante è fornita d’un eofono. — Che bestia è questo eofono?|- Ogni macchina volante è fornita dun eofono. - Che bestia è questo eofono?
meraviglieduemila_13_salgari_f000085|— Un semplice eppure preziosissimo, apparecchio, formato da due imbuti ricevitori del suono, separati fra di loro da un diaframma centrale.|- Un semplice eppure preziosissimo, apparecchio, formato da due imbuti ricevitori del suono, separati fra di loro da un diaframma centrale.
meraviglieduemila_13_salgari_f000086|Questi due imbuti vengono applicati agli orecchi del timoniere e quando questi apparecchi si trovano nella direzione delle onde sonore emesse da un corpo qualunque|Questi due imbuti vengono applicati agli orecchi del timoniere e quando questi apparecchi si trovano nella direzione delle onde sonore emesse da un corpo qualunque
meraviglieduemila_13_salgari_f000087|producono un rumore nella medesima intensità e sono così sensibili da registrare le vibrazioni più impercettibili.|producono un rumore nella medesima intensità e sono così sensibili da registrare le vibrazioni più impercettibili.
meraviglieduemila_13_salgari_f000088|Supponete ora che un vascello volante s’accosti a noi.|Supponete ora che un vascello volante saccosti a noi.
meraviglieduemila_13_salgari_f000089|Il rumore che produce, spostando la massa d’aria, e anche le vibrazioni delle ali si trasmettono subito agli imbuti del nostro timoniere. Che cosa si fa allora?|Il rumore che produce, spostando la massa daria, e anche le vibrazioni delle ali si trasmettono subito agli imbuti del nostro timoniere. Che cosa si fa allora?
meraviglieduemila_13_salgari_f000090|Si lancia un telegramma che viene raccolto e trasmesso sul vascello dall’apparecchio elettrico.|Si lancia un telegramma che viene raccolto e trasmesso sul vascello dallapparecchio elettrico.
meraviglieduemila_13_salgari_f000091|Entrambi i vascelli volanti si fermano e deviano, ed ecco tolto ogni pericolo d’investimento.|Entrambi i vascelli volanti si fermano e deviano, ed ecco tolto ogni pericolo dinvestimento.
meraviglieduemila_13_salgari_f000092|Che cosa ne dite ora, signor Brandok?|Che cosa ne dite ora, signor Brandok?
meraviglieduemila_13_salgari_f000093|Il giovine scosse il capo senza rispondere.|Il giovine scosse il capo senza rispondere.
meraviglieduemila_13_salgari_f000094|Anche durante l’intera notte l’uragano non cessò un momento di infuriare.|Anche durante lintera notte luragano non cessò un momento di infuriare.
meraviglieduemila_13_salgari_f000095|Il vento che soffiava ad oriente aveva respinto il Centauro assai lontano dalla sua rotta, trascinandolo in mezzo all’Oceano Atlantico.|Il vento che soffiava ad oriente aveva respinto il Centauro assai lontano dalla sua rotta, trascinandolo in mezzo allOceano Atlantico.
meraviglieduemila_13_salgari_f000096|A mezzodì, quando il capitano, approfittando d’un raggio di sole fece il punto|A mezzodì, quando il capitano, approfittando dun raggio di sole fece il punto
meraviglieduemila_13_salgari_f000097|s’accorse d’aver oltrepassata la Scozia di qualche centinaio di miglia.|saccorse daver oltrepassata la Scozia di qualche centinaio di miglia.
meraviglieduemila_13_salgari_f000098|— Pel momento dobbiamo rinunciare alla speranza di approdare in Inghilterra — disse ad Holker, che lo interrogava.|- Pel momento dobbiamo rinunciare alla speranza di approdare in Inghilterra - disse ad Holker, che lo interrogava.
meraviglieduemila_13_salgari_f000099|— Il vento ci trascina come se il mio Centauro fosse diventato un veliero e non sarebbe prudente cercare di resistergli. — E dove andremo a finire noi?|- Il vento ci trascina come se il mio Centauro fosse diventato un veliero e non sarebbe prudente cercare di resistergli. - E dove andremo a finire noi?
meraviglieduemila_13_salgari_f000100|— Vi spaventa una corsa in mezzo all’Atlantico?|- Vi spaventa una corsa in mezzo allAtlantico?
meraviglieduemila_13_salgari_f000101|— No, purchè il vento non ci faccia tornare in America.|- No, purchè il vento non ci faccia tornare in America.
meraviglieduemila_13_salgari_f000102|Noi desideriamo visitare le grandi capitali degli stati europei.|Noi desideriamo visitare le grandi capitali degli stati europei.
meraviglieduemila_13_salgari_f000103|— Quando il ciclone si calmerà, riprenderemo la corsa verso l’Inghilterra.|- Quando il ciclone si calmerà, riprenderemo la corsa verso lInghilterra.
meraviglieduemila_13_salgari_f000104|A Liverpool prenderete o il treno o il vascello che va a Londra.|A Liverpool prenderete o il treno o il vascello che va a Londra.
meraviglieduemila_13_salgari_f000105|Non è questione che di qualche giorno di ritardo.|Non è questione che di qualche giorno di ritardo.
meraviglieduemila_13_salgari_f000106|Questo ventaccio finirà per cambiare. Il capitano s’ingannava.|Questo ventaccio finirà per cambiare. Il capitano singannava.
meraviglieduemila_13_salgari_f000107|L’uragano imperversò con furia estrema per due giorni ancora|Luragano imperversò con furia estrema per due giorni ancora
meraviglieduemila_13_salgari_f000108|mettendo più volte in serio pericolo il Centauro le cui ali a poco a poco si sfasciavano.|mettendo più volte in serio pericolo il Centauro le cui ali a poco a poco si sfasciavano.
meraviglieduemila_13_salgari_f000109|La mattina del terzo giorno, quando già il vento cominciava finalmente a scemare di violenza|La mattina del terzo giorno, quando già il vento cominciava finalmente a scemare di violenza
meraviglieduemila_13_salgari_f000110|il capitano avvertì i viaggiatori di rifugiarsi nella galleria per non venire trascinati via dalle onde. — Scendiamo in mare? — chiese Holker.|il capitano avvertì i viaggiatori di rifugiarsi nella galleria per non venire trascinati via dalle onde. - Scendiamo in mare? - chiese Holker.
meraviglieduemila_13_salgari_f000111|— Sì, signore, — rispose il comandante.|- Sì, signore, - rispose il comandante.
meraviglieduemila_13_salgari_f000112|— Il Centauro non si sostiene in aria che con grandi sforzi e piuttosto di cadere improvvisamente, preferisco scendere.|- Il Centauro non si sostiene in aria che con grandi sforzi e piuttosto di cadere improvvisamente, preferisco scendere.
meraviglieduemila_13_salgari_f000113|— L’oceano è sconvolto — osservò Brandok.|- Loceano è sconvolto - osservò Brandok.
meraviglieduemila_13_salgari_f000114|— L’armatura della galleria è di una solidità a tutta prova ed i vetri hanno uno spessore di cinque centimetri.|- Larmatura della galleria è di una solidità a tutta prova ed i vetri hanno uno spessore di cinque centimetri.
meraviglieduemila_13_salgari_f000115|Le onde non riusciranno mai a sfondarla.|Le onde non riusciranno mai a sfondarla.
meraviglieduemila_13_salgari_f000116|Diventiamo marinai dopo essere stati volatili.|Diventiamo marinai dopo essere stati volatili.
meraviglieduemila_13_salgari_f000117|Noi già, non soffriamo il mal di mare.|Noi già, non soffriamo il mal di mare.
meraviglieduemila_13_salgari_f000118|Entrarono nella galleria assieme all’equipaggio e al comandante|Entrarono nella galleria assieme allequipaggio e al comandante
