maerchen_001_f000001|Der glückliche Prinz.|Der glückliche Prinz.
maerchen_007_f000049|Selbst nach Ablauf der dreijährigen öffentlichen Trauer, die er durch königlichen Befehl für seine ganzen Staaten angeordnet hatte, duldete er es nie, daß seine Minister von einer neuen Heirat sprachen,|Selbst nach Ablauf der dreijährigen öffentlichen Trauer, die er durch königlichen Befehl für seine ganzen Staaten angeordnet hatte, duldete er es nie, daß seine Minister von einer neuen Heirat sprachen,
maerchen_007_f000050|und als der Kaiser selbst zu ihm schickte und ihm die Hand der lieblichen Erzherzogin von Böhmen, seiner Nichte, zur Heirat anbot, bat er die Gesandten, sie möchten ihrem Herrn erzählen, der König von Spanien sei schon mit der Trauer vermählt, und wenn diese auch eine Braut ohne Frucht sei, so liebe er sie doch mehr als die Schönheit.|und als der Kaiser selbst zu ihm schickte und ihm die Hand der lieblichen Erzherzogin von Böhmen, seiner Nichte, zur Heirat anbot, bat er die Gesandten, sie möchten ihrem Herrn erzählen, der König von Spanien sei schon mit der Trauer vermählt, und wenn diese auch eine Braut ohne Frucht sei, so liebe er sie doch mehr als die Schönheit.
maerchen_007_f000051|Diese Antwort kostete seiner Krone die reichen Provinzen der Niederlande, die sich bald nachher auf Anstiften des Kaisers unter Führung einiger Fanatiker der reformierten Kirche gegen ihn auflehnten.|Diese Antwort kostete seiner Krone die reichen Provinzen der Niederlande, die sich bald nachher auf Anstiften des Kaisers unter Führung einiger Fanatiker der reformierten Kirche gegen ihn auflehnten.
maerchen_007_f000052|Sein ganzes Eheleben mit seiner wilden, flammenden Freude und dem schrecklichen Schmerz bei dem plötzlichen Ende schien ihm heute zurückzukehren, als er der Infantin beim Spielen auf der Terrasse zusah.|Sein ganzes Eheleben mit seiner wilden, flammenden Freude und dem schrecklichen Schmerz bei dem plötzlichen Ende schien ihm heute zurückzukehren, als er der Infantin beim Spielen auf der Terrasse zusah.
maerchen_007_f000053|Sie hatte so ganz das hübsche, mutwillige Benehmen der Königin, dieselbe eigensinnige Art, den Kopf emporzuwerfen, denselben stolz geschwungenen, schönen Mund, dasselbe wundervolle Lachen – vrai sourire de France –,|Sie hatte so ganz das hübsche, mutwillige Benehmen der Königin, dieselbe eigensinnige Art, den Kopf emporzuwerfen, denselben stolz geschwungenen, schönen Mund, dasselbe wundervolle Lachen - vrai sourire de France -,
maerchen_007_f000054|wenn sie dann und wann nach dem Fenster emporblickte, oder wenn sie den würdigen spanischen Herren ihre kleine Hand zum Kusse darreichte.|wenn sie dann und wann nach dem Fenster emporblickte, oder wenn sie den würdigen spanischen Herren ihre kleine Hand zum Kusse darreichte.
maerchen_007_f000055|Aber das schrille Lachen der Kinder verletzte des Königs Ohr, der helle, mitleidlose Sonnenschein spottete über seine Trauer, und ein schwerer Duft von seltsamen Spezereien, Spezereien,|Aber das schrille Lachen der Kinder verletzte des Königs Ohr, der helle, mitleidlose Sonnenschein spottete über seine Trauer, und ein schwerer Duft von seltsamen Spezereien, Spezereien,
maerchen_007_f000056|wie sie Einbalsamierer gebrauchen, schien – oder war das nur seine Einbildung? - die klare Morgenluft zu vergiften.|wie sie Einbalsamierer gebrauchen, schien - oder war das nur seine Einbildung? - die klare Morgenluft zu vergiften.
maerchen_007_f000057|Er begrub sein Gesicht in seinen Händen, und als die Infantin wieder aufblickte, waren die Vorhänge herabgezogen, und der König war verschwunden.|Er begrub sein Gesicht in seinen Händen, und als die Infantin wieder aufblickte, waren die Vorhänge herabgezogen, und der König war verschwunden.
maerchen_007_f000058|Sie schmollte etwas enttäuscht und zog ihre Schultern.|Sie schmollte etwas enttäuscht und zog ihre Schultern.
maerchen_007_f000059|Sicherlich, an ihrem Geburtstag hätte er bei ihr bleiben können.|Sicherlich, an ihrem Geburtstag hätte er bei ihr bleiben können.
maerchen_007_f000060|Was lag an den dummen Staatsgeschäften?|Was lag an den dummen Staatsgeschäften?
maerchen_007_f000061|Oder war er in diese dunkle Kapelle gegangen, wo immer die Kerzen brannten, und die sie niemals betreten durfte?|Oder war er in diese dunkle Kapelle gegangen, wo immer die Kerzen brannten, und die sie niemals betreten durfte?
maerchen_007_f000062|Wie töricht von ihm, da doch die Sonne so hell schien und alle so glücklich waren!|Wie töricht von ihm, da doch die Sonne so hell schien und alle so glücklich waren!
maerchen_007_f000063|Übrigens würde ihm das Scheingefecht mit Stieren entgehen, zu dem schon die Trompete blies, um gar nichts zu sagen von der Puppenschau und den andern wundervollen Dingen.|Übrigens würde ihm das Scheingefecht mit Stieren entgehen, zu dem schon die Trompete blies, um gar nichts zu sagen von der Puppenschau und den andern wundervollen Dingen.
maerchen_007_f000064|Ihr Onkel und der Großinquisitor waren viel vernünftiger.|Ihr Onkel und der Großinquisitor waren viel vernünftiger.
maerchen_007_f000065|Sie waren auf die Terrasse herausgekommen und spendeten ihrer Nichte Komplimente.|Sie waren auf die Terrasse herausgekommen und spendeten ihrer Nichte Komplimente.
maerchen_007_f000066|So warf sie denn ihren hübschen Kopf zurück, nahm Don Pedro bei der Hand und ging langsam die Stufen hinab nach einem langen Zelt von purpurner Seide, das am Ende des Gartens errichtet war,|So warf sie denn ihren hübschen Kopf zurück, nahm Don Pedro bei der Hand und ging langsam die Stufen hinab nach einem langen Zelt von purpurner Seide, das am Ende des Gartens errichtet war,
maerchen_007_f000067|während die andern Kinder genau nach der Vornehmheit ihrer Abstammung folgten, indem die zwei, die den längsten Namen hatten, zuerst gingen.|während die andern Kinder genau nach der Vornehmheit ihrer Abstammung folgten, indem die zwei, die den längsten Namen hatten, zuerst gingen.
maerchen_007_f000068|Ein Zug von Edelknaben, die phantastisch als Stierfechter gekleidet waren, kam ihr entgegen, und der junge Herzog von Tierra Nueva, ein wundervoll hübscher Junge von vielleicht vierzehn Jahren,|Ein Zug von Edelknaben, die phantastisch als Stierfechter gekleidet waren, kam ihr entgegen, und der junge Herzog von Tierra Nueva, ein wundervoll hübscher Junge von vielleicht vierzehn Jahren,
maerchen_007_f000069|entblößte sein Haupt mit all der Grazie eines geborenen Hidalgo und Granden von Spanien und führte sie feierlich zu einem kleinen vergoldeten, aus Elfenbein geschnitzten Stuhl, der auf einer erhöhten Estrade über der Arena stand.|entblößte sein Haupt mit all der Grazie eines geborenen Hidalgo und Granden von Spanien und führte sie feierlich zu einem kleinen vergoldeten, aus Elfenbein geschnitzten Stuhl, der auf einer erhöhten Estrade über der Arena stand.
maerchen_007_f000070|Die Kinder scharten sich alle um sie herum, schwenkten ihre großen Fächer und flüsterten miteinander, und Don Pedro und der Großinquisitor standen lachend am Eingang.|Die Kinder scharten sich alle um sie herum, schwenkten ihre großen Fächer und flüsterten miteinander, und Don Pedro und der Großinquisitor standen lachend am Eingang.
maerchen_007_f000071|Selbst die Herzogin – die Oberhofmeisterin, wie sie genannt wurde –, eine hagere Frau mit abstoßenden Gesichtszügen und einer gelben Halskrause, sah nicht ganz so schlechtgelaunt aus, wie sonst,|Selbst die Herzogin - die Oberhofmeisterin, wie sie genannt wurde -, eine hagere Frau mit abstoßenden Gesichtszügen und einer gelben Halskrause, sah nicht ganz so schlechtgelaunt aus, wie sonst,
maerchen_007_f000072|und so etwas wie ein Lächeln glitt über ihr faltiges Gesicht und verzog ihre blutlosen Lippen.|und so etwas wie ein Lächeln glitt über ihr faltiges Gesicht und verzog ihre blutlosen Lippen.
maerchen_007_f000073|Es war wirklich ein wunderbares Stiergefecht und viel hübscher, dachte die Infantin, als das echte Stiergefecht, das man ihr in Sevilla gezeigt hatte, als der Herzog von Parma ihren Vater besuchte.|Es war wirklich ein wunderbares Stiergefecht und viel hübscher, dachte die Infantin, als das echte Stiergefecht, das man ihr in Sevilla gezeigt hatte, als der Herzog von Parma ihren Vater besuchte.
maerchen_007_f000074|Einige von den Knaben paradierten auf Steckenpferden mit reichen Schabracken umher und schwangen lange Wurfspieße, an denen lustige Wimpel aus glänzendem Band befestigt waren.|Einige von den Knaben paradierten auf Steckenpferden mit reichen Schabracken umher und schwangen lange Wurfspieße, an denen lustige Wimpel aus glänzendem Band befestigt waren.
maerchen_007_f000075|Andere gingen zu Fuß, schwenkten ihre roten Mäntel vor dem Stier und schwangen sich leicht über die Barriere, wenn er auf sie losstürmte.|Andere gingen zu Fuß, schwenkten ihre roten Mäntel vor dem Stier und schwangen sich leicht über die Barriere, wenn er auf sie losstürmte.
maerchen_007_f000076|Und was diesen Stier selbst anging, so war er genau wie ein lebender Stier, obgleich er nur aus Flechtwerk und ausgespanntem Fell gemacht war und es manchmal nicht lassen konnte,|Und was diesen Stier selbst anging, so war er genau wie ein lebender Stier, obgleich er nur aus Flechtwerk und ausgespanntem Fell gemacht war und es manchmal nicht lassen konnte,
maerchen_007_f000077|auf seinen Hinterfüßen um die Arena zu rennen, woran kein lebender Stier auch nur im Traume denkt.|auf seinen Hinterfüßen um die Arena zu rennen, woran kein lebender Stier auch nur im Traume denkt.
maerchen_007_f000078|Er kämpfte auch großartig, und die Kinder begeisterten sich so, daß sie auf den Bänken standen, ihre Spitzentaschentücher schwenkten und Bravo toro!|Er kämpfte auch großartig, und die Kinder begeisterten sich so, daß sie auf den Bänken standen, ihre Spitzentaschentücher schwenkten und Bravo toro!
maerchen_007_f000079|Bravo toro! ganz so vernünftig riefen, als ob sie erwachsene Leute gewesen seien.|Bravo toro! ganz so vernünftig riefen, als ob sie erwachsene Leute gewesen seien.
maerchen_007_f000080|Schließlich aber nach einem langen Kampfe, während dessen verschiedene von Steckenpferden völlig durchbohrt und ihre Reiter aus dem Sattel geworfen wurden, brachte der junge Herzog von Tierra Nueva den Stier zum Fall, und,|Schließlich aber nach einem langen Kampfe, während dessen verschiedene von Steckenpferden völlig durchbohrt und ihre Reiter aus dem Sattel geworfen wurden, brachte der junge Herzog von Tierra Nueva den Stier zum Fall, und,
maerchen_007_f000081|nachdem er von der Infantin die Erlaubnis erhalten hatte, ihm den Gnadenstoß zu geben, stieß er sein hölzernes Schwert dem Tier mit solcher Gewalt in den Nacken, daß der Kopf völlig abfiel,|nachdem er von der Infantin die Erlaubnis erhalten hatte, ihm den Gnadenstoß zu geben, stieß er sein hölzernes Schwert dem Tier mit solcher Gewalt in den Nacken, daß der Kopf völlig abfiel,
maerchen_007_f000082|und das lachende Gesicht des kleinen Herrn von Lorraine sich zeigte, des Sohnes des französischen Gesandten in Madrid.|und das lachende Gesicht des kleinen Herrn von Lorraine sich zeigte, des Sohnes des französischen Gesandten in Madrid.
maerchen_007_f000083|Unter großem Beifall wurde nun die Arena gesäubert, und zwei Negerpagen in gelbschwarzer Livree schleppten feierlich die toten Steckenpferde weg.|Unter großem Beifall wurde nun die Arena gesäubert, und zwei Negerpagen in gelbschwarzer Livree schleppten feierlich die toten Steckenpferde weg.
maerchen_007_f000084|Dann nach einem kurzen Zwischenspiel, in dem sich ein französischer Akrobat auf gespanntem Seil zeigte, erschienen auf der Bühne eines kleinen Theaters, das eigens zu dem Zweck errichtet war,|Dann nach einem kurzen Zwischenspiel, in dem sich ein französischer Akrobat auf gespanntem Seil zeigte, erschienen auf der Bühne eines kleinen Theaters, das eigens zu dem Zweck errichtet war,
maerchen_007_f000085|einige italienische Marionetten in der halbklassischen Tragödie der Sophonisba.|einige italienische Marionetten in der halbklassischen Tragödie der Sophonisba.
maerchen_007_f000086|Sie spielten so gut, und ihre Bewegungen waren so außerordentlich natürlich, daß beim Schluß des Stückes die Augen der Infantin ganz feucht von Tränen waren.|Sie spielten so gut, und ihre Bewegungen waren so außerordentlich natürlich, daß beim Schluß des Stückes die Augen der Infantin ganz feucht von Tränen waren.
maerchen_007_f000087|Ja, einige Kinder weinten wirklich und mußten mit Zuckerwerk getröstet werden, und der Großinquisitor selbst war so gerührt, daß er nicht umhin konnte, zu Don Pedro zu sagen, es schiene ihm unerträglich, daß Dinge,|Ja, einige Kinder weinten wirklich und mußten mit Zuckerwerk getröstet werden, und der Großinquisitor selbst war so gerührt, daß er nicht umhin konnte, zu Don Pedro zu sagen, es schiene ihm unerträglich, daß Dinge,
maerchen_007_f000088|die einfach aus Holz und gefärbtem Wachs gemacht seien und mechanisch durch Drähte sich bewegten, daß diese so unglücklich sein sollten und solche schrecklichen Schicksalsschläge erdulden müßten.|die einfach aus Holz und gefärbtem Wachs gemacht seien und mechanisch durch Drähte sich bewegten, daß diese so unglücklich sein sollten und solche schrecklichen Schicksalsschläge erdulden müßten.
maerchen_007_f000089|Ein afrikanischer Gaukler folgte jetzt, der einen großen, flachen, mit rotem Tuch bedeckten Korb hereinbrachte und ihn mitten in die Arena stellte.|Ein afrikanischer Gaukler folgte jetzt, der einen großen, flachen, mit rotem Tuch bedeckten Korb hereinbrachte und ihn mitten in die Arena stellte.
maerchen_007_f000090|Er zog aus seinem Turban eine seltsame rote Pfeife hervor und blies darauf.|Er zog aus seinem Turban eine seltsame rote Pfeife hervor und blies darauf.
maerchen_007_f000091|In wenigen Augenblicken begann das Tuch sich zu bewegen, und als die Pfeife schriller und schriller tönte, steckten zwei grüngoldne Schlangen ihre seltsamen, keilförmigen Köpfe heraus und hoben sich langsam empor,|In wenigen Augenblicken begann das Tuch sich zu bewegen, und als die Pfeife schriller und schriller tönte, steckten zwei grüngoldne Schlangen ihre seltsamen, keilförmigen Köpfe heraus und hoben sich langsam empor,
maerchen_007_f000092|indem sie sich mit der Musik hin und her bewegten, gerade wie Pflanzen sich im Wasser bewegen.|indem sie sich mit der Musik hin und her bewegten, gerade wie Pflanzen sich im Wasser bewegen.
maerchen_007_f000093|Die Kinder aber wurden etwas ängstlich über ihre gefleckten Nackenhauben und pfeilschnellen Zungen, und es gefiel ihnen viel besser,|Die Kinder aber wurden etwas ängstlich über ihre gefleckten Nackenhauben und pfeilschnellen Zungen, und es gefiel ihnen viel besser,
maerchen_007_f000094|als der Gaukler aus dem Sandboden einen zierlichen Orangenbaum hervorsprießen ließ, der hübsche weiße Blüten und Büschel wirklicher Früchte trug.|als der Gaukler aus dem Sandboden einen zierlichen Orangenbaum hervorsprießen ließ, der hübsche weiße Blüten und Büschel wirklicher Früchte trug.
maerchen_007_f000095|Und als er den Fächer der kleinen Tochter des Marquis von Las Torres nahm und ihn in einen blauen Vogel verwandelte, der rings um das Zelt flog und sang, da kannte ihr Entzücken und Staunen keine Grenzen.|Und als er den Fächer der kleinen Tochter des Marquis von Las Torres nahm und ihn in einen blauen Vogel verwandelte, der rings um das Zelt flog und sang, da kannte ihr Entzücken und Staunen keine Grenzen.
