maedchenvommoorhof_1_f000001|Es ist in einem Thingsaal, weit draußen auf dem Lande.|Es ist in einem Thingsaal, weit draußen auf dem Lande.
maedchenvommoorhof_6_f000045|Es war ein großes Taschenmesser, dessen größte Klinge abgebrochen war.|Es war ein großes Taschenmesser, dessen größte Klinge abgebrochen war.
maedchenvommoorhof_6_f000046|Er drehte es nach allen Seiten und besah es genau, während er noch immer im Wasser stand.|Er drehte es nach allen Seiten und besah es genau, während er noch immer im Wasser stand.
maedchenvommoorhof_6_f000047|Dann steckte er es in die Tasche, zog es aber noch ein paarmal heraus und betrachtete es prüfend, ehe er wieder ins Haus zurückging.|Dann steckte er es in die Tasche, zog es aber noch ein paarmal heraus und betrachtete es prüfend, ehe er wieder ins Haus zurückging.
maedchenvommoorhof_6_f000048|Gudmund kam erst heim, als sich alle schon niedergelegt hatten.|Gudmund kam erst heim, als sich alle schon niedergelegt hatten.
maedchenvommoorhof_6_f000049|Er ging sofort zu Bett, ohne das Abendbrot zu berühren, das in der Wohnstube aufgetischt stand.|Er ging sofort zu Bett, ohne das Abendbrot zu berühren, das in der Wohnstube aufgetischt stand.
maedchenvommoorhof_6_f000050|Erland Erlandsson und sein Weib schliefen in der Kammer.|Erland Erlandsson und sein Weib schliefen in der Kammer.
maedchenvommoorhof_6_f000051|Um das Morgengrauen glaubte Erland Schritte vor dem Fenster zu hören.|Um das Morgengrauen glaubte Erland Schritte vor dem Fenster zu hören.
maedchenvommoorhof_6_f000052|Er stand auf, zog die Gardinen zurück und sah, daß Gudmund zum Morast hinunterging.|Er stand auf, zog die Gardinen zurück und sah, daß Gudmund zum Morast hinunterging.
maedchenvommoorhof_6_f000053|Dort legte er Strümpfe und Schuhe ab, ging ins Wasser hinaus und wanderte hin und her, wie einer, der etwas sucht.|Dort legte er Strümpfe und Schuhe ab, ging ins Wasser hinaus und wanderte hin und her, wie einer, der etwas sucht.
maedchenvommoorhof_6_f000054|Das tat er lange, dann ging er wieder an das Ufer, als wollte er seiner Wege gehen, kehrte aber bald um und suchte weiter.|Das tat er lange, dann ging er wieder an das Ufer, als wollte er seiner Wege gehen, kehrte aber bald um und suchte weiter.
maedchenvommoorhof_6_f000055|Eine ganze Stunde stand der Vater da und sah ihm zu, dann begab sich Gudmund ins Haus und legte sich wieder schlafen.|Eine ganze Stunde stand der Vater da und sah ihm zu, dann begab sich Gudmund ins Haus und legte sich wieder schlafen.
maedchenvommoorhof_6_f000056|Am Pfingsttag sollte Gudmund zur Kirche fahren.|Am Pfingsttag sollte Gudmund zur Kirche fahren.
maedchenvommoorhof_6_f000057|Als er das Pferd einzuspannen begann, kam der Vater über den Hof.|Als er das Pferd einzuspannen begann, kam der Vater über den Hof.
maedchenvommoorhof_6_f000058|Du hast vergessen, das Geschirr zu putzen, sagte er, als er vorbeiging.|Du hast vergessen, das Geschirr zu putzen, sagte er, als er vorbeiging.
maedchenvommoorhof_6_f000059|Denn Geschirr und Wagen waren schmutzig und ungescheuert.|Denn Geschirr und Wagen waren schmutzig und ungescheuert.
maedchenvommoorhof_6_f000060|Ich hab an andre Dinge zu denken gehabt, sagte Gudmund mürrisch und fuhr davon, ohne etwas dergleichen zu tun.|Ich hab an andre Dinge zu denken gehabt, sagte Gudmund mürrisch und fuhr davon, ohne etwas dergleichen zu tun.
maedchenvommoorhof_6_f000061|Nach dem Gottesdienst begleitete Gudmund seine Braut nach Älvåkra und blieb den ganzen Tag dort.|Nach dem Gottesdienst begleitete Gudmund seine Braut nach Älvkra und blieb den ganzen Tag dort.
maedchenvommoorhof_6_f000062|Es kam eine Menge jungen Volkes zusammen, um Hildurs letzten Jungfernabend zu feiern, und man tanzte bis tief in die Nacht hinein.|Es kam eine Menge jungen Volkes zusammen, um Hildurs letzten Jungfernabend zu feiern, und man tanzte bis tief in die Nacht hinein.
maedchenvommoorhof_6_f000063|Es gab auch viel zu trinken, aber Gudmund rührte nichts an.|Es gab auch viel zu trinken, aber Gudmund rührte nichts an.
maedchenvommoorhof_6_f000064|Den ganzen Abend sprach er kaum ein Wort zu irgend jemand, aber er tanzte wild und lachte zuweilen laut und schrill auf, ohne daß jemand wußte, worüber.|Den ganzen Abend sprach er kaum ein Wort zu irgend jemand, aber er tanzte wild und lachte zuweilen laut und schrill auf, ohne daß jemand wußte, worüber.
maedchenvommoorhof_6_f000065|Gudmund kam nicht vor zwei Uhr nach Hause, und sobald er das Pferd in den Stall geführt hatte, ging er zu dem Sumpf hinter dem Hause.|Gudmund kam nicht vor zwei Uhr nach Hause, und sobald er das Pferd in den Stall geführt hatte, ging er zu dem Sumpf hinter dem Hause.
maedchenvommoorhof_6_f000066|Er streifte die Schuhe ab, krempelte die Hosen hinauf und watete ins Wasser.|Er streifte die Schuhe ab, krempelte die Hosen hinauf und watete ins Wasser.
maedchenvommoorhof_6_f000067|Es war eine helle Sommernacht, und der Vater stand in dem Kämmerchen hinter der Gardine und sah dem Sohne zu.|Es war eine helle Sommernacht, und der Vater stand in dem Kämmerchen hinter der Gardine und sah dem Sohne zu.
maedchenvommoorhof_6_f000068|Er sah, wie er tief über das Wasser gebeugt einherging und suchte wie in der Nacht zuvor.|Er sah, wie er tief über das Wasser gebeugt einherging und suchte wie in der Nacht zuvor.
maedchenvommoorhof_6_f000069|Von Zeit zu Zeit ging er wieder an das Ufer, so als verzweifelte er, etwas zu finden, aber nach einer Weile watete er wieder in das Wasser hinaus.|Von Zeit zu Zeit ging er wieder an das Ufer, so als verzweifelte er, etwas zu finden, aber nach einer Weile watete er wieder in das Wasser hinaus.
maedchenvommoorhof_6_f000070|Einmal ging er in den Stall und holte einen Eimer und begann Wasser aus den kleinen Pfützen zu schöpfen, als wollte er sie trockenlegen, aber fand es sicherlich zwecklos und stellte den Eimer wieder weg.|Einmal ging er in den Stall und holte einen Eimer und begann Wasser aus den kleinen Pfützen zu schöpfen, als wollte er sie trockenlegen, aber fand es sicherlich zwecklos und stellte den Eimer wieder weg.
maedchenvommoorhof_6_f000071|Er versuchte es auch mit einem Sieb.|Er versuchte es auch mit einem Sieb.
maedchenvommoorhof_6_f000072|Er durchsuchte den ganzen Sumpf damit, aber schien nichts andres heraufzubekommen als Schlamm.|Er durchsuchte den ganzen Sumpf damit, aber schien nichts andres heraufzubekommen als Schlamm.
maedchenvommoorhof_6_f000073|Erst um die Morgenstunde kam er herein, als die Leute im Hause sich schon zu rühren begannen.|Erst um die Morgenstunde kam er herein, als die Leute im Hause sich schon zu rühren begannen.
maedchenvommoorhof_6_f000074|Da war er so müde und übernächtig, daß er im Gehen schwankte, und warf sich aufs Bett, ohne die Kleider abzulegen.|Da war er so müde und übernächtig, daß er im Gehen schwankte, und warf sich aufs Bett, ohne die Kleider abzulegen.
maedchenvommoorhof_6_f000075|Als die Uhr acht schlug, kam der Vater und weckte ihn.|Als die Uhr acht schlug, kam der Vater und weckte ihn.
maedchenvommoorhof_6_f000076|Gudmund lag auf dem Bett, die Kleider voll Schlamm und Lehm; aber der Vater fragte nicht, was er angestellt habe, sondern sagte nur, es sei jetzt Zeit aufzustehen, und schloß die Tür.|Gudmund lag auf dem Bett, die Kleider voll Schlamm und Lehm; aber der Vater fragte nicht, was er angestellt habe, sondern sagte nur, es sei jetzt Zeit aufzustehen, und schloß die Tür.
maedchenvommoorhof_6_f000077|Nach einer Weile kam Gudmund in die Wohnstube herunter, mit den feinen Hochzeitskleidern angetan.|Nach einer Weile kam Gudmund in die Wohnstube herunter, mit den feinen Hochzeitskleidern angetan.
maedchenvommoorhof_6_f000078|Er war bleich, und die Augen brannten in unruhigem Glanz, aber niemand hatte ihn je so schön gesehen.|Er war bleich, und die Augen brannten in unruhigem Glanz, aber niemand hatte ihn je so schön gesehen.
maedchenvommoorhof_6_f000079|Die Züge waren wie von einem inneren Schein verklärt.|Die Züge waren wie von einem inneren Schein verklärt.
maedchenvommoorhof_6_f000080|Man glaubte einen Menschen zu sehen, der nicht mehr aus Fleisch und Blut bestünde, sondern nur noch aus Wille und Seele.|Man glaubte einen Menschen zu sehen, der nicht mehr aus Fleisch und Blut bestünde, sondern nur noch aus Wille und Seele.
maedchenvommoorhof_6_f000081|Unten in der Wohnstube sah es festlich aus.|Unten in der Wohnstube sah es festlich aus.
maedchenvommoorhof_6_f000082|Die Mutter hatte ihr schwarzes Kleid angelegt und einen schönen Seidenschal über die Schultern gehängt, obgleich sie nicht zur Hochzeit fahren wollte.|Die Mutter hatte ihr schwarzes Kleid angelegt und einen schönen Seidenschal über die Schultern gehängt, obgleich sie nicht zur Hochzeit fahren wollte.
maedchenvommoorhof_6_f000083|Auch alle Dienstleute waren in ihren besten Kleidern.|Auch alle Dienstleute waren in ihren besten Kleidern.
maedchenvommoorhof_6_f000084|Über dem Herde stak frisches Birkenlaub, auf dem Tische lag eine schöne Decke, und viele Schüsseln standen darauf.|Über dem Herde stak frisches Birkenlaub, auf dem Tische lag eine schöne Decke, und viele Schüsseln standen darauf.
maedchenvommoorhof_6_f000085|Als sie gegessen hatten, las Mutter Ingeborg einen Psalm und ein Stück aus der Bibel vor.|Als sie gegessen hatten, las Mutter Ingeborg einen Psalm und ein Stück aus der Bibel vor.
maedchenvommoorhof_6_f000086|Dann wendete sie sich an Gudmund, dankte ihm, weil er ihr ein guter Sohn gewesen war, wünschte ihm Glück für sein zukünftiges Leben und gab ihm ihren Segen.|Dann wendete sie sich an Gudmund, dankte ihm, weil er ihr ein guter Sohn gewesen war, wünschte ihm Glück für sein zukünftiges Leben und gab ihm ihren Segen.
maedchenvommoorhof_6_f000087|Mutter Ingeborg wußte ihr Worte gut zu setzen, und Gudmund war sehr gerührt.|Mutter Ingeborg wußte ihr Worte gut zu setzen, und Gudmund war sehr gerührt.
maedchenvommoorhof_6_f000088|Immer wieder traten ihm die Tränen in die Augen, aber es gelang ihm doch, das Weinen zu unterdrücken.|Immer wieder traten ihm die Tränen in die Augen, aber es gelang ihm doch, das Weinen zu unterdrücken.
maedchenvommoorhof_6_f000089|Auch der Vater sprach ein paar Worte.|Auch der Vater sprach ein paar Worte.
maedchenvommoorhof_6_f000090|Es wird schwer für deine Eltern sein, dich zu verlieren, sagte er, und Gudmund war wieder nahe daran, in Schluchzen auszubrechen.|Es wird schwer für deine Eltern sein, dich zu verlieren, sagte er, und Gudmund war wieder nahe daran, in Schluchzen auszubrechen.
maedchenvommoorhof_6_f000091|Auch alle Dienstleute traten vor, schüttelten ihm die Hand und dankten ihm für die Zeit, die nun zu Ende war.|Auch alle Dienstleute traten vor, schüttelten ihm die Hand und dankten ihm für die Zeit, die nun zu Ende war.
maedchenvommoorhof_6_f000092|Beständig hingen Gudmund die Tränen in den Wimpern.|Beständig hingen Gudmund die Tränen in den Wimpern.
maedchenvommoorhof_6_f000093|Er räusperte sich und machte ein paar Versuche, zu sprechen, doch brachte er kaum ein Wort über die Lippen.|Er räusperte sich und machte ein paar Versuche, zu sprechen, doch brachte er kaum ein Wort über die Lippen.
maedchenvommoorhof_6_f000094|Der Vater sollte ihn in das Haus der Braut begleiten und der Hochzeit beiwohnen.|Der Vater sollte ihn in das Haus der Braut begleiten und der Hochzeit beiwohnen.
maedchenvommoorhof_6_f000095|Er ging in den Hof, spannte das Pferd ein und kam dann wieder, um zu sagen, daß es Zeit sei, sich auf den Weg zu machen.|Er ging in den Hof, spannte das Pferd ein und kam dann wieder, um zu sagen, daß es Zeit sei, sich auf den Weg zu machen.
maedchenvommoorhof_6_f000096|Als Gudmund sich in den Wagen setzte, merkte er, daß alles so spiegelblank war, wie er es selbst immer gern gehabt hatte.|Als Gudmund sich in den Wagen setzte, merkte er, daß alles so spiegelblank war, wie er es selbst immer gern gehabt hatte.
maedchenvommoorhof_6_f000097|Zugleich sah er auch, wie fein der Hof herausgeputzt war; der Zufahrtsweg war frisch beschottert; alte Holzhaufen und andres Gerümpel, das Zeit seines Lebens dort gelegen, waren fortgeschafft.|Zugleich sah er auch, wie fein der Hof herausgeputzt war; der Zufahrtsweg war frisch beschottert; alte Holzhaufen und andres Gerümpel, das Zeit seines Lebens dort gelegen, waren fortgeschafft.
maedchenvommoorhof_6_f000098|Zu beiden Seiten der Eingangstür standen ein paar abgehauene Birken als Triumphpforte, an der Wetterfahne hing ein großer Blumenkranz, und aus allen Fensterluken guckten lichtgrüne Birkenreiser.|Zu beiden Seiten der Eingangstür standen ein paar abgehauene Birken als Triumphpforte, an der Wetterfahne hing ein großer Blumenkranz, und aus allen Fensterluken guckten lichtgrüne Birkenreiser.
maedchenvommoorhof_6_f000099|Wieder war Gudmund nahe daran, in Tränen auszubrechen.|Wieder war Gudmund nahe daran, in Tränen auszubrechen.
maedchenvommoorhof_6_f000100|Er drückte dem Vater, der eben das Pferd in Gang setzen wollte, heftig die Hand.|Er drückte dem Vater, der eben das Pferd in Gang setzen wollte, heftig die Hand.
maedchenvommoorhof_6_f000101|Es war, als wollte er ihn von der Fahrt abhalten.|Es war, als wollte er ihn von der Fahrt abhalten.
maedchenvommoorhof_6_f000102|Willst du etwas? sagte der Vater.|Willst du etwas? sagte der Vater.
maedchenvommoorhof_6_f000103|Ach nein, sagte Gudmund.|Ach nein, sagte Gudmund.
maedchenvommoorhof_6_f000104|Es ist wohl am besten, wenn wir uns auf den Weg machen.|Es ist wohl am besten, wenn wir uns auf den Weg machen.
maedchenvommoorhof_6_f000105|Bevor sie weit vom Hofe waren, mußte Gudmund noch einmal Abschied nehmen.|Bevor sie weit vom Hofe waren, mußte Gudmund noch einmal Abschied nehmen.
maedchenvommoorhof_6_f000106|Es war Helga vom Moorhof, die an der Stelle stand und wartete, wo der Waldpfad von ihrem Heim her auf den Weg mündete.|Es war Helga vom Moorhof, die an der Stelle stand und wartete, wo der Waldpfad von ihrem Heim her auf den Weg mündete.
maedchenvommoorhof_6_f000107|Der Vater, der kutschierte, hielt an, sowie er Helga erblickte.|Der Vater, der kutschierte, hielt an, sowie er Helga erblickte.
maedchenvommoorhof_6_f000108|Ich hab auf euch gewartet, weil ich Gudmund Glück wünschen möchte, sagte Helga.|Ich hab auf euch gewartet, weil ich Gudmund Glück wünschen möchte, sagte Helga.
maedchenvommoorhof_6_f000109|Gudmund beugte sich aus dem Wagen und schüttelte Helga die Hand.|Gudmund beugte sich aus dem Wagen und schüttelte Helga die Hand.
maedchenvommoorhof_6_f000110|Er glaubte zu sehen, daß sie abgemagert war, ihre Augen waren rot gerändert.|Er glaubte zu sehen, daß sie abgemagert war, ihre Augen waren rot gerändert.
maedchenvommoorhof_6_f000111|Sie lag wohl nachts und weinte und sehnte sich nach Närlunda.|Sie lag wohl nachts und weinte und sehnte sich nach Närlunda.
maedchenvommoorhof_6_f000112|Aber jetzt trachtete sie, fröhlich auszusehen, und lächelte ihm zu.|Aber jetzt trachtete sie, fröhlich auszusehen, und lächelte ihm zu.
maedchenvommoorhof_6_f000113|Er war wieder sehr gerührt, konnte aber nichts sagen.|Er war wieder sehr gerührt, konnte aber nichts sagen.
maedchenvommoorhof_6_f000114|Der Vater, der ja in dem Rufe stand, daß er nicht sprach, ehe die Not am höchsten war, fiel ein: Ich glaube, über diesen Glückwunsch freut sich Gudmund mehr als über irgendeinen andern.|Der Vater, der ja in dem Rufe stand, daß er nicht sprach, ehe die Not am höchsten war, fiel ein: Ich glaube, über diesen Glückwunsch freut sich Gudmund mehr als über irgendeinen andern.
maedchenvommoorhof_6_f000115|Ja, das ist sicher, sagte Gudmund.|Ja, das ist sicher, sagte Gudmund.
maedchenvommoorhof_6_f000116|Sie schüttelten sich noch einmal die Hand, und dann fuhr der Vater weiter.|Sie schüttelten sich noch einmal die Hand, und dann fuhr der Vater weiter.
maedchenvommoorhof_6_f000117|Gudmund beugte sich aus dem Wagen und sah Helga nach.|Gudmund beugte sich aus dem Wagen und sah Helga nach.
maedchenvommoorhof_6_f000118|Als sie von ein paar Bäumen verdeckt wurde, riß er plötzlich den Fußsack fort und erhob sich, als wolle er aus dem Wagen springen.|Als sie von ein paar Bäumen verdeckt wurde, riß er plötzlich den Fußsack fort und erhob sich, als wolle er aus dem Wagen springen.
maedchenvommoorhof_6_f000119|Willst du Helga noch etwas sagen? fragte der Vater.|Willst du Helga noch etwas sagen? fragte der Vater.
maedchenvommoorhof_6_f000120|Nein, ach nein, antwortete Gudmund und setzte sich wieder zurecht.|Nein, ach nein, antwortete Gudmund und setzte sich wieder zurecht.
maedchenvommoorhof_6_f000121|Sie fuhren noch eine kleine Strecke.|Sie fuhren noch eine kleine Strecke.
maedchenvommoorhof_6_f000122|Der Vater fuhr sehr gemächlich.|Der Vater fuhr sehr gemächlich.
maedchenvommoorhof_6_f000123|Es war, als mache es ihm Freude, so mit seinem Sohne neben sich zu fahren.|Es war, als mache es ihm Freude, so mit seinem Sohne neben sich zu fahren.
