zweiplaneten_01_lasswitz_f000001|Auf zwei Planeten von Kurd Laßwitz|Auf zwei Planeten von Kurd Laßwitz
zweiplaneten_35_lasswitz_f000219|Aufs neue fühlte sich Ell in der Ansicht bestärkt, daß gegenüber dem immensen Fortschritt, der hier für die Menschheit in Frage stand|Aufs neue fühlte sich Ell in der Ansicht bestärkt, daß gegenüber dem immensen Fortschritt, der hier für die Menschheit in Frage stand
zweiplaneten_35_lasswitz_f000220|die Rücksicht auf die Neigung der gegenwärtigen Menschheit, dieses Geschenk anzunehmen, zu schweigen hatte.|die Rücksicht auf die Neigung der gegenwärtigen Menschheit, dieses Geschenk anzunehmen, zu schweigen hatte.
zweiplaneten_35_lasswitz_f000221|Noch viel weniger aber durfte er sich seinen Handlungen durch persönliche Neigungen irre machen lassen.|Noch viel weniger aber durfte er sich seinen Handlungen durch persönliche Neigungen irre machen lassen.
zweiplaneten_35_lasswitz_f000222|Mochte man ihn als Überläufer, als Verräter an der Sache der Erde betrachten|Mochte man ihn als Überläufer, als Verräter an der Sache der Erde betrachten
zweiplaneten_35_lasswitz_f000223|mochte man Schmach und Verachtung auf ihn häufen – gleichviel! Er wußte|mochte man Schmach und Verachtung auf ihn häufen - gleichviel! Er wußte
zweiplaneten_35_lasswitz_f000224|daß er zum besten der Kultur überhaupt und so auch der Menschheit handle, wenn er voll auf der Seite des Mars stand.|daß er zum besten der Kultur überhaupt und so auch der Menschheit handle, wenn er voll auf der Seite des Mars stand.
zweiplaneten_35_lasswitz_f000225|Mochte er selbst seine persönlichen Freunde verlieren, er mußte es tragen.|Mochte er selbst seine persönlichen Freunde verlieren, er mußte es tragen.
zweiplaneten_35_lasswitz_f000226|Einst würden sie gerechter über ihn urteilen.|Einst würden sie gerechter über ihn urteilen.
zweiplaneten_35_lasswitz_f000227|Und Isma! Er sah den traurigen Blick der blauen Augen|Und Isma! Er sah den traurigen Blick der blauen Augen
zweiplaneten_35_lasswitz_f000228|er sah das schmerzliche Zucken ihrer Lippen und das verächtliche Zurückwerfen des Kopfes –.|er sah das schmerzliche Zucken ihrer Lippen und das verächtliche Zurückwerfen des Kopfes -.
zweiplaneten_35_lasswitz_f000229|Und noch einmal sprang er empor und starrte trüben Blickes in die dunkle Nacht.|Und noch einmal sprang er empor und starrte trüben Blickes in die dunkle Nacht.
zweiplaneten_35_lasswitz_f000230|Dort drüben, wo der hellgrüne Schimmer des Straßenstreifens sich hinzog, da wohnte sie.|Dort drüben, wo der hellgrüne Schimmer des Straßenstreifens sich hinzog, da wohnte sie.
zweiplaneten_35_lasswitz_f000231|O könnte er hingehen und sie rufen, wie damals, als das Luftschiff auf sie wartete|O könnte er hingehen und sie rufen, wie damals, als das Luftschiff auf sie wartete
zweiplaneten_35_lasswitz_f000232|könnte er sie wieder zur Erde zurückführen und dafür ihren dankbaren Blick erhalten! Doch es ging nicht.|könnte er sie wieder zur Erde zurückführen und dafür ihren dankbaren Blick erhalten! Doch es ging nicht.
zweiplaneten_35_lasswitz_f000233|Sie durfte nicht fort, sie konnte nicht, selbst wenn er versucht hätte, sie fortzubringen.|Sie durfte nicht fort, sie konnte nicht, selbst wenn er versucht hätte, sie fortzubringen.
zweiplaneten_35_lasswitz_f000234|Aber er selbst! Ihm stand es frei, er besaß die Erlaubnis, mit nach der Erde zu gehen|Aber er selbst! Ihm stand es frei, er besaß die Erlaubnis, mit nach der Erde zu gehen
zweiplaneten_35_lasswitz_f000235|er hatte die Vollmacht hier vor sich, die er eben mit den übrigen Briefschaften an Ill zurückschicken wollte.|er hatte die Vollmacht hier vor sich, die er eben mit den übrigen Briefschaften an Ill zurückschicken wollte.
zweiplaneten_35_lasswitz_f000236|In wenigen Tagen ging das Raumschiff.|In wenigen Tagen ging das Raumschiff.
zweiplaneten_35_lasswitz_f000237|Ill fuhr zu diesem Zweck selbst an die Polstation, um der Abreise beizuwohnen. Er konnte mitreisen.|Ill fuhr zu diesem Zweck selbst an die Polstation, um der Abreise beizuwohnen. Er konnte mitreisen.
zweiplaneten_35_lasswitz_f000238|Er konnte ihr den Wunsch erfüllen, mit Torm selbst zu sprechen.|Er konnte ihr den Wunsch erfüllen, mit Torm selbst zu sprechen.
zweiplaneten_35_lasswitz_f000239|– Nein doch, nein! Es war unmöglich.|- Nein doch, nein! Es war unmöglich.
zweiplaneten_35_lasswitz_f000240|Würde ihm Torm glauben können, wenn er ohne Isma kam?|Würde ihm Torm glauben können, wenn er ohne Isma kam?
zweiplaneten_35_lasswitz_f000241|Und in diese Verhältnisse! Unter diesen Umständen! Sich gewissermaßen entschuldigen?|Und in diese Verhältnisse! Unter diesen Umständen! Sich gewissermaßen entschuldigen?
zweiplaneten_35_lasswitz_f000242|Von allen Seiten beargwöhnt und angefeindet, würde er überhaupt jetzt etwas zur Versöhnung beitragen können?|Von allen Seiten beargwöhnt und angefeindet, würde er überhaupt jetzt etwas zur Versöhnung beitragen können?
zweiplaneten_35_lasswitz_f000243|Nein, wenn er überhaupt zur Erde zurückging, da konnte es nur sein, wenn die Menschen begriffen hatten|Nein, wenn er überhaupt zur Erde zurückging, da konnte es nur sein, wenn die Menschen begriffen hatten
zweiplaneten_35_lasswitz_f000244|was die Nume ihnen bringen und wie sie dieselben aufzunehmen haben.|was die Nume ihnen bringen und wie sie dieselben aufzunehmen haben.
zweiplaneten_35_lasswitz_f000245|Er wollte auf dem Mars bleiben, bis er zurückkehren konnte als ein Herr und Beglücker der Menschen.|Er wollte auf dem Mars bleiben, bis er zurückkehren konnte als ein Herr und Beglücker der Menschen.
zweiplaneten_35_lasswitz_f000246|Ell schloß die Papiere für Ill in die Mappe und fügte seinen Paß für das Raumschiff hinzu. Er brauchte ihn nicht.|Ell schloß die Papiere für Ill in die Mappe und fügte seinen Paß für das Raumschiff hinzu. Er brauchte ihn nicht.
zweiplaneten_36_lasswitz_f000001|Auf zwei Planeten von Kurd Laßwitz|Auf zwei Planeten von Kurd Laßwitz
zweiplaneten_36_lasswitz_f000002|Kapitel Sechsunddreißig. Saltners Reise.|Kapitel Sechsunddreißig. Saltners Reise.
zweiplaneten_36_lasswitz_f000003|Saltner lenkte seinen Radschlitten, dessen er sich sehr bald zu bedienen gelernt hatte, Frus Haus zu.|Saltner lenkte seinen Radschlitten, dessen er sich sehr bald zu bedienen gelernt hatte, Frus Haus zu.
zweiplaneten_36_lasswitz_f000004|Wie oft hatte er in diesen zwei Monaten, die er schon auf dem Mars weilte|Wie oft hatte er in diesen zwei Monaten, die er schon auf dem Mars weilte
zweiplaneten_36_lasswitz_f000005|den Weg zurückgelegt und die kürzeste Verbindung ausprobiert! Heute hatte er weite Umwege gemacht und im nächtlichen Park seinen Gedanken nachgehangen.|den Weg zurückgelegt und die kürzeste Verbindung ausprobiert! Heute hatte er weite Umwege gemacht und im nächtlichen Park seinen Gedanken nachgehangen.
zweiplaneten_36_lasswitz_f000006|Sonst konnte es ihm immer nicht schnell genug gehen, wenn er über die schmalen Parkwege hinglitt, die nach Las Wohnung führten.|Sonst konnte es ihm immer nicht schnell genug gehen, wenn er über die schmalen Parkwege hinglitt, die nach Las Wohnung führten.
zweiplaneten_36_lasswitz_f000007|Wenn ihm das Verhältnis des Mars zur Erde Sorge machte, bei La fand er Trost und Ermunterung|Wenn ihm das Verhältnis des Mars zur Erde Sorge machte, bei La fand er Trost und Ermunterung
zweiplaneten_36_lasswitz_f000008|von ihr wußte er ja, daß sie ihn nicht für gering hielt, weil er nur ein Mensch war – –.|von ihr wußte er ja, daß sie ihn nicht für gering hielt, weil er nur ein Mensch war - -.
zweiplaneten_36_lasswitz_f000009|Sie liebte ihn, die Nume, die herrliche.|Sie liebte ihn, die Nume, die herrliche.
zweiplaneten_36_lasswitz_f000010|Sollte er nicht glücklich sein?|Sollte er nicht glücklich sein?
zweiplaneten_36_lasswitz_f000011|Und doch – das Wort: »Vergiß nicht, daß ich eine Nume bin«, das sie zu ihm gesprochen, als sie zusammen auf die Erde hinabblickten|Und doch - das Wort: Vergiß nicht, daß ich eine Nume bin, das sie zu ihm gesprochen, als sie zusammen auf die Erde hinabblickten
zweiplaneten_36_lasswitz_f000012|es ging ihm nicht aus dem Sinn, was er damals kaum beachtet, nicht verstanden hatte.|es ging ihm nicht aus dem Sinn, was er damals kaum beachtet, nicht verstanden hatte.
zweiplaneten_36_lasswitz_f000013|Das Wort hatte er nicht vergessen, aber vielleicht die Warnung, die es enthielt.|Das Wort hatte er nicht vergessen, aber vielleicht die Warnung, die es enthielt.
zweiplaneten_36_lasswitz_f000014|Sollte er jetzt daran erinnert werden?|Sollte er jetzt daran erinnert werden?
zweiplaneten_36_lasswitz_f000015|Durfte er es wagen, die Bitte auszusprechen, die sie ihm versagen mußte?|Durfte er es wagen, die Bitte auszusprechen, die sie ihm versagen mußte?
zweiplaneten_36_lasswitz_f000016|Warum war er seit zwei Tagen nicht mehr bei La gewesen?|Warum war er seit zwei Tagen nicht mehr bei La gewesen?
zweiplaneten_36_lasswitz_f000017|Er hatte viel zu tun gehabt, gewiß;|Er hatte viel zu tun gehabt, gewiß;
zweiplaneten_36_lasswitz_f000018|die Erdkommission hatte von ihm verschiedene Gutachten verlangt|die Erdkommission hatte von ihm verschiedene Gutachten verlangt
zweiplaneten_36_lasswitz_f000019|auch Frau Torm hatte lange Unterredungen mit ihm, die Briefe nach der Erde nahmen seine Zeit in Anspruch.|auch Frau Torm hatte lange Unterredungen mit ihm, die Briefe nach der Erde nahmen seine Zeit in Anspruch.
zweiplaneten_36_lasswitz_f000020|Zweimal hatte er auch La durch das Telephon angesprochen, doch beide Male war sie nicht zu Hause gewesen.|Zweimal hatte er auch La durch das Telephon angesprochen, doch beide Male war sie nicht zu Hause gewesen.
zweiplaneten_36_lasswitz_f000021|Er wußte nicht einmal, womit sie so eifrig beschäftigt war.|Er wußte nicht einmal, womit sie so eifrig beschäftigt war.
zweiplaneten_36_lasswitz_f000022|Seit acht Tagen war sie mit ihrer Mutter allein.|Seit acht Tagen war sie mit ihrer Mutter allein.
zweiplaneten_36_lasswitz_f000023|Fru hatte sich bereits nach dem Pol begeben, um die Ausrüstung der Raumschiffe zu leiten.|Fru hatte sich bereits nach dem Pol begeben, um die Ausrüstung der Raumschiffe zu leiten.
zweiplaneten_36_lasswitz_f000024|Es hatten lange Erwägungen in der Erdkommission stattgefunden|Es hatten lange Erwägungen in der Erdkommission stattgefunden
zweiplaneten_36_lasswitz_f000025|welche Kapitäne und Ingenieure bei der wichtigen und verantwortlichen Expedition nach dem Südpol der Erde zu verwenden seien.|welche Kapitäne und Ingenieure bei der wichtigen und verantwortlichen Expedition nach dem Südpol der Erde zu verwenden seien.
zweiplaneten_36_lasswitz_f000026|Schließlich wollte man, obgleich an tüchtigen Leuten kein Mangel war, doch des Rates Frus, als eines der bewährtesten Erdkenner|Schließlich wollte man, obgleich an tüchtigen Leuten kein Mangel war, doch des Rates Frus, als eines der bewährtesten Erdkenner
zweiplaneten_36_lasswitz_f000027|nicht entbehren, und er hatte sich entschlossen, die technische Leitung der Expedition zu übernehmen.|nicht entbehren, und er hatte sich entschlossen, die technische Leitung der Expedition zu übernehmen.
zweiplaneten_36_lasswitz_f000028|Es war auch davon die Rede gewesen, daß La ihn begleiten solle.|Es war auch davon die Rede gewesen, daß La ihn begleiten solle.
zweiplaneten_36_lasswitz_f000029|Die Aussicht, La so bald wieder zu verlieren, hatte Saltner schmerzlich erregt, und er hatte nun befreit aufgeatmet|Die Aussicht, La so bald wieder zu verlieren, hatte Saltner schmerzlich erregt, und er hatte nun befreit aufgeatmet
zweiplaneten_36_lasswitz_f000030|als er hörte, daß La ihren Wunsch, auf dem Mars zu bleiben, durchgesetzt habe.|als er hörte, daß La ihren Wunsch, auf dem Mars zu bleiben, durchgesetzt habe.
zweiplaneten_36_lasswitz_f000031|Er schmeichelte sich, daß ihre Liebe zu ihm der Hauptbeweggrund gewesen sei, der sie hier zurückhielt – er hatte sich dessen geschmeichelt.|Er schmeichelte sich, daß ihre Liebe zu ihm der Hauptbeweggrund gewesen sei, der sie hier zurückhielt - er hatte sich dessen geschmeichelt.
zweiplaneten_36_lasswitz_f000032|Aber warum war er in den letzten Tagen so zweifelhaft geworden?|Aber warum war er in den letzten Tagen so zweifelhaft geworden?
zweiplaneten_36_lasswitz_f000033|Warum hatte er nicht die Zeit gefunden, sie aufzusuchen?|Warum hatte er nicht die Zeit gefunden, sie aufzusuchen?
zweiplaneten_36_lasswitz_f000034|Er konnte es sich nicht verhehlen, er war eifersüchtig.|Er konnte es sich nicht verhehlen, er war eifersüchtig.
zweiplaneten_36_lasswitz_f000035|Fast jedesmal in der letzten Zeit hatte er Ell bei La getroffen|Fast jedesmal in der letzten Zeit hatte er Ell bei La getroffen
zweiplaneten_36_lasswitz_f000036|oder sie war während seiner Anwesenheit von Ell aus der Ferne angesprochen worden.|oder sie war während seiner Anwesenheit von Ell aus der Ferne angesprochen worden.
zweiplaneten_36_lasswitz_f000037|Und wie begegnete sie Ell! Jedes Wort, jeder Blick zwischen ihnen war sofort verstanden|Und wie begegnete sie Ell! Jedes Wort, jeder Blick zwischen ihnen war sofort verstanden
zweiplaneten_36_lasswitz_f000038|ihren Gesprächen vermochte er nicht zu folgen, es waren zwei Nume, die sich unterhielten, die sich gefielen, die –.|ihren Gesprächen vermochte er nicht zu folgen, es waren zwei Nume, die sich unterhielten, die sich gefielen, die -.
zweiplaneten_36_lasswitz_f000039|Es konnte ja gar kein Zweifel sein, wer mußte nicht La lieben, der sie näher kennenlernte?|Es konnte ja gar kein Zweifel sein, wer mußte nicht La lieben, der sie näher kennenlernte?
zweiplaneten_36_lasswitz_f000040|Und er, wie konnte er sich mit dem Martiersohn vergleichen|Und er, wie konnte er sich mit dem Martiersohn vergleichen
zweiplaneten_36_lasswitz_f000041|der La ebenbürtig war und doch den eigentümlichen Reiz des Menschentums besaß! Er hätte diesen Ell hassen mögen|der La ebenbürtig war und doch den eigentümlichen Reiz des Menschentums besaß! Er hätte diesen Ell hassen mögen
zweiplaneten_36_lasswitz_f000042|er nannte ihn einen Verräter an der Menschheit und einen Räuber seines Glücks.|er nannte ihn einen Verräter an der Menschheit und einen Räuber seines Glücks.
zweiplaneten_36_lasswitz_f000043|Und doch, konnte man den einen Verräter nennen, der nur zu seinem eigentlichen Vaterland zurückkehrte|Und doch, konnte man den einen Verräter nennen, der nur zu seinem eigentlichen Vaterland zurückkehrte
zweiplaneten_36_lasswitz_f000044|das ihm durch ein unverschuldetes Geschick geraubt war?|das ihm durch ein unverschuldetes Geschick geraubt war?
zweiplaneten_36_lasswitz_f000045|Und welches Recht hatte er selbst an La? Was entbehrte er überhaupt?|Und welches Recht hatte er selbst an La? Was entbehrte er überhaupt?
zweiplaneten_36_lasswitz_f000046|Sie entzog sich ihm nicht um Ells willen, sie war ebenso lieb und gut wie früher|Sie entzog sich ihm nicht um Ells willen, sie war ebenso lieb und gut wie früher
zweiplaneten_36_lasswitz_f000047|ja vielleicht sorgsamer und zärtlicher wie je, sie zeigte ihm in jedem Augenblick, wie wert er ihr war. Aber sie zeigte es auch Ell.|ja vielleicht sorgsamer und zärtlicher wie je, sie zeigte ihm in jedem Augenblick, wie wert er ihr war. Aber sie zeigte es auch Ell.
zweiplaneten_36_lasswitz_f000048|Das störte ihn, das empörte ihn, sie aber fand es offenbar ganz in Ordnung. Sie war eine Martierin. Sie hatte ihn ja gewarnt;|Das störte ihn, das empörte ihn, sie aber fand es offenbar ganz in Ordnung. Sie war eine Martierin. Sie hatte ihn ja gewarnt;
zweiplaneten_36_lasswitz_f000049|wenn er sie liebte, mußte er mit der Sitte der Martier rechnen. Er aber war ein Mensch – –.|wenn er sie liebte, mußte er mit der Sitte der Martier rechnen. Er aber war ein Mensch - -.
zweiplaneten_36_lasswitz_f000050|Saltner näherte sich der breiteren Straße, wo La wohnte.|Saltner näherte sich der breiteren Straße, wo La wohnte.
zweiplaneten_36_lasswitz_f000051|In seine Gedanken versunken hatte er nicht bemerkt, daß ein Transport der Umzugsgesellschaft ihm entgegenkam.|In seine Gedanken versunken hatte er nicht bemerkt, daß ein Transport der Umzugsgesellschaft ihm entgegenkam.
zweiplaneten_36_lasswitz_f000052|Er hatte nur gerade noch Zeit, zur Seite auszuweichen und den Zug an sich vorüberzulassen.|Er hatte nur gerade noch Zeit, zur Seite auszuweichen und den Zug an sich vorüberzulassen.
zweiplaneten_36_lasswitz_f000053|Ein Haus, auf breiten Gleitkufen stehend, wurde von einer Reaktionsmaschine vorwärtsgeschoben.|Ein Haus, auf breiten Gleitkufen stehend, wurde von einer Reaktionsmaschine vorwärtsgeschoben.
zweiplaneten_36_lasswitz_f000054|Die Fenster waren geschlossen, es war alles dunkel im Hause.|Die Fenster waren geschlossen, es war alles dunkel im Hause.
zweiplaneten_36_lasswitz_f000055|Die Bewohner schliefen offenbar.|Die Bewohner schliefen offenbar.
zweiplaneten_36_lasswitz_f000056|Wenn sie am Morgen aufwachten, stand ihr Haus viele Hunderte von Kilometern entfernt. Nun war die Bahn wieder frei.|Wenn sie am Morgen aufwachten, stand ihr Haus viele Hunderte von Kilometern entfernt. Nun war die Bahn wieder frei.
