mattiapascal_01_pirandello_f000001|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.|Il fu Mattia Pascal di Luigi Pirandello Capitulo Primo Premessa.
mattiapascal_10_pirandello_f000439|e approvavo di tanto in tanto col capo e di tanto in tanto volgevo uno sguardo ad Adriana, che se ne stava ancora a guardare il fiume.|e approvavo di tanto in tanto col capo e di tanto in tanto volgevo uno sguardo ad Adriana, che se ne stava ancora a guardare il fiume.
mattiapascal_10_pirandello_f000440|— Eh, purtroppo! — baritoneggiò, a mo' di conclusione, Papiano.|- Eh, purtroppo! - baritoneggiò, a mo' di conclusione, Papiano.
mattiapascal_10_pirandello_f000441|— Borbonico e clericale, il marchese Giglio d'Auletta! E io, io che...|- Borbonico e clericale, il marchese Giglio d'Auletta! E io, io che...
mattiapascal_10_pirandello_f000442|(devo guardarmi dal dirlo sottovoce, anche qui, in casa mia) io che ogni mattina|devo guardarmi dal dirlo sottovoce, anche qui, in casa mia io che ogni mattina
mattiapascal_10_pirandello_f000443|prima d'andar via, saluto con la mano la statua di Garibaldi sul Gianicolo (ha veduto?|prima d'andar via, saluto con la mano la statua di Garibaldi sul Gianicolo ha veduto?
mattiapascal_10_pirandello_f000444|di qua si scorge benissimo), io che griderei ogni momento: «Viva il Venti settembre!»|di qua si scorge benissimo, io che griderei ogni momento: Viva il Venti settembre!
mattiapascal_10_pirandello_f000445|io debbo fargli da segretario! Degnissimo uomo, badiamo! ma borbonico e clericale.|io debbo fargli da segretario! Degnissimo uomo, badiamo! ma borbonico e clericale.
mattiapascal_10_pirandello_f000446|Sissignore... Pane! Le giuro che tante volte mi viene da sputarci sopra, perdoni! Mi resta qua in gola, m'affoga...|Sissignore... Pane! Le giuro che tante volte mi viene da sputarci sopra, perdoni! Mi resta qua in gola, m'affoga...
mattiapascal_10_pirandello_f000447|Ma che posso farci? Pane! pane! Scrollò due volte le spalle, alzò le braccia e si percosse le anche.|Ma che posso farci? Pane! pane! Scrollò due volte le spalle, alzò le braccia e si percosse le anche.
mattiapascal_10_pirandello_f000448|— Sù, sù, Adrianuccia! — poi disse, accorrendo a lei e prendendole, lievemente,|- Sù, sù, Adrianuccia! - poi disse, accorrendo a lei e prendendole, lievemente,
mattiapascal_10_pirandello_f000449|con ambo le mani la vita : — A letto! E tardi. Il signore avrà sonno.|con ambo le mani la vita : - A letto! E tardi. Il signore avrà sonno.
mattiapascal_10_pirandello_f000450|Innanzi all'uscio della mia camera Adriana mi strinse forte la mano, come finora non aveva mai fatto.|Innanzi all'uscio della mia camera Adriana mi strinse forte la mano, come finora non aveva mai fatto.
mattiapascal_10_pirandello_f000451|Rimasto solo, io tenni a lungo il pugno stretto, come per serbar la pressione della mano di lei.|Rimasto solo, io tenni a lungo il pugno stretto, come per serbar la pressione della mano di lei.
mattiapascal_10_pirandello_f000452|Tutta quella notte rimasi a pensare, dibattendomi tra continue smanie.|Tutta quella notte rimasi a pensare, dibattendomi tra continue smanie.
mattiapascal_10_pirandello_f000453|La cerimoniosa ipocrisia, la servilità insinuante e loquace|La cerimoniosa ipocrisia, la servilità insinuante e loquace
mattiapascal_10_pirandello_f000454|il malanimo di quell'uomo mi avrebbero certamente reso intollerabile la permanenza in quella casa|il malanimo di quell'uomo mi avrebbero certamente reso intollerabile la permanenza in quella casa
mattiapascal_10_pirandello_f000455|su cui egli – non c'era dubbio – voleva tiranneggiare, approfittando della dabbenaggine del suocero.|su cui egli - non c'era dubbio - voleva tiranneggiare, approfittando della dabbenaggine del suocero.
mattiapascal_10_pirandello_f000456|Chi sa a quali arti sarebbe ricorso! Già me n'aveva dato un saggio, cangiando di punto in bianco, al mio apparire.|Chi sa a quali arti sarebbe ricorso! Già me n'aveva dato un saggio, cangiando di punto in bianco, al mio apparire.
mattiapascal_10_pirandello_f000457|Ma perché vedeva così di malocchio ch'io alloggiassi in quella casa?|Ma perché vedeva così di malocchio ch'io alloggiassi in quella casa?
mattiapascal_10_pirandello_f000458|perché non ero io per lui un inquilino come un altro?|perché non ero io per lui un inquilino come un altro?
mattiapascal_10_pirandello_f000459|Che gli aveva detto di me la Caporale?|Che gli aveva detto di me la Caporale?
mattiapascal_10_pirandello_f000460|poteva egli sul serio esser geloso di costei?|poteva egli sul serio esser geloso di costei?
mattiapascal_10_pirandello_f000461|o era geloso di un'altra?|o era geloso di un'altra?
mattiapascal_10_pirandello_f000462|Quel suo fare arrogante e sospettoso;|Quel suo fare arrogante e sospettoso;
mattiapascal_10_pirandello_f000463|l'aver cacciato via la Caporale per restar solo con Adriana, alla quale aveva preso a parlare con tanta violenza;|l'aver cacciato via la Caporale per restar solo con Adriana, alla quale aveva preso a parlare con tanta violenza;
mattiapascal_10_pirandello_f000464|la ribellione di Adriana;|la ribellione di Adriana;
mattiapascal_10_pirandello_f000465|il non aver ella permesso ch'egli chiudesse le imposte;|il non aver ella permesso ch'egli chiudesse le imposte;
mattiapascal_10_pirandello_f000466|il turbamento ond'era presa ogni qualvolta s'accennava al cognato assente, tutto|il turbamento ond'era presa ogni qualvolta s'accennava al cognato assente, tutto
mattiapascal_10_pirandello_f000467|tutto ribadiva in me il sospetto odioso ch'egli avesse qualche mira su lei.|tutto ribadiva in me il sospetto odioso ch'egli avesse qualche mira su lei.
mattiapascal_10_pirandello_f000468|Ebbene e perché me n'arrovellavo tanto?|Ebbene e perché me n'arrovellavo tanto?
mattiapascal_10_pirandello_f000469|Non potevo alla fin fine andar via da quella casa, se colui anche per poco m'infastidiva?|Non potevo alla fin fine andar via da quella casa, se colui anche per poco m'infastidiva?
mattiapascal_10_pirandello_f000470|Che mi tratteneva? Niente.|Che mi tratteneva? Niente.
mattiapascal_10_pirandello_f000471|Ma con tenerissimo compiacimento ricordavo che ella dal terrazzino m'aveva chiamato|Ma con tenerissimo compiacimento ricordavo che ella dal terrazzino m'aveva chiamato
mattiapascal_10_pirandello_f000472|come per esser protetta da me, e che infine m'aveva stretto forte forte la mano...|come per esser protetta da me, e che infine m'aveva stretto forte forte la mano...
mattiapascal_10_pirandello_f000473|Avevo lasciato aperta la gelosia, aperti gli scuri.|Avevo lasciato aperta la gelosia, aperti gli scuri.
mattiapascal_10_pirandello_f000474|A un certo punto, la luna, declinando, si mostrò nel vano della mia finestra, proprio come se volesse spiarmi|A un certo punto, la luna, declinando, si mostrò nel vano della mia finestra, proprio come se volesse spiarmi
mattiapascal_10_pirandello_f000475|sorprendermi ancora sveglio a letto, per dirmi: «Ho capito, caro, ho capito! E tu, no? davvero?|sorprendermi ancora sveglio a letto, per dirmi: Ho capito, caro, ho capito! E tu, no? davvero?
mattiapascal_11_pirandello_f000001|Il fu Mattia Pascal di Luigi Pirandello Capitulo Dodicesimo L'occhio e Papiano.|Il fu Mattia Pascal di Luigi Pirandello Capitulo Dodicesimo L'occhio e Papiano.
mattiapascal_11_pirandello_f000002|— La tragedia d'Oreste in un teatrino di marionette! — venne ad annunziarmi il signor Anselmo Paleari.|- La tragedia d'Oreste in un teatrino di marionette! - venne ad annunziarmi il signor Anselmo Paleari.
mattiapascal_11_pirandello_f000003|— Marionette automatiche, di nuova invenzione.|- Marionette automatiche, di nuova invenzione.
mattiapascal_11_pirandello_f000004|Stasera, alle ore otto e mezzo, in via dei Prefetti, numero cinquantaquattro.|Stasera, alle ore otto e mezzo, in via dei Prefetti, numero cinquantaquattro.
mattiapascal_11_pirandello_f000005|Sarebbe da andarci, signor Meis.|Sarebbe da andarci, signor Meis.
mattiapascal_11_pirandello_f000006|— La tragedia d'Oreste? — Già! D'après Sophocle, dice il manifestino.|- La tragedia d'Oreste? - Già! D'après Sophocle, dice il manifestino.
mattiapascal_11_pirandello_f000007|Sarà l'Elettra. Ora senta un po', che bizzarria mi viene in mente!|Sarà l'Elettra. Ora senta un po', che bizzarria mi viene in mente!
mattiapascal_11_pirandello_f000008|Se, nel momento culminante, proprio quando la marionetta che rappresenta Oreste è per vendicare la morte del padre sopra Egisto e la madre,|Se, nel momento culminante, proprio quando la marionetta che rappresenta Oreste è per vendicare la morte del padre sopra Egisto e la madre,
mattiapascal_11_pirandello_f000009|si facesse uno strappo nel cielo di carta del teatrino, che avverrebbe? Dica lei.|si facesse uno strappo nel cielo di carta del teatrino, che avverrebbe? Dica lei.
mattiapascal_11_pirandello_f000010|— Non saprei, — risposi, stringendomi ne le spalle.|- Non saprei, - risposi, stringendomi ne le spalle.
mattiapascal_11_pirandello_f000011|— Ma è facilissimo, signor Meis! Oreste rimarrebbe terribilmente sconcertato da quel buco nel cielo.|- Ma è facilissimo, signor Meis! Oreste rimarrebbe terribilmente sconcertato da quel buco nel cielo.
mattiapascal_11_pirandello_f000012|— E perché? — Mi lasci dire.|- E perché? - Mi lasci dire.
mattiapascal_11_pirandello_f000013|Oreste sentirebbe ancora gl'impulsi della vendetta, vorrebbe seguirli con smaniosa passione, ma gli occhi, sul punto|Oreste sentirebbe ancora gl'impulsi della vendetta, vorrebbe seguirli con smaniosa passione, ma gli occhi, sul punto
mattiapascal_11_pirandello_f000014|gli andrebbero lì a quello strappo, donde ora ogni sorta di mali influssi penetrerebbero nella scena, e si sentirebbe cader le braccia.|gli andrebbero lì a quello strappo, donde ora ogni sorta di mali influssi penetrerebbero nella scena, e si sentirebbe cader le braccia.
mattiapascal_11_pirandello_f000015|Oreste, insomma, diventerebbe Amleto.|Oreste, insomma, diventerebbe Amleto.
mattiapascal_11_pirandello_f000016|Tutta la differenza, signor Meis, fra la tragedia antica e la moderna consiste in ciò, creda pure: in un buco nel cielo di carta.|Tutta la differenza, signor Meis, fra la tragedia antica e la moderna consiste in ciò, creda pure: in un buco nel cielo di carta.
mattiapascal_11_pirandello_f000017|E se ne andò, ciabattando.|E se ne andò, ciabattando.
mattiapascal_11_pirandello_f000018|Dalle vette nuvolose delle sue astrazioni il signor Anselmo lasciava spesso precipitar così, come valanghe, i suoi pensieri.|Dalle vette nuvolose delle sue astrazioni il signor Anselmo lasciava spesso precipitar così, come valanghe, i suoi pensieri.
mattiapascal_11_pirandello_f000019|La ragione, il nesso, l'opportunità di essi rimanevano lassù, tra le nuvole|La ragione, il nesso, l'opportunità di essi rimanevano lassù, tra le nuvole
mattiapascal_11_pirandello_f000020|dimodoché difficilmente a chi lo ascoltava riusciva di capirci qualche cosa.|dimodoché difficilmente a chi lo ascoltava riusciva di capirci qualche cosa.
mattiapascal_11_pirandello_f000021|L'immagine della marionetta d'Oreste sconcertata dal buco nel cielo mi rimase tuttavia un pezzo nella mente.|L'immagine della marionetta d'Oreste sconcertata dal buco nel cielo mi rimase tuttavia un pezzo nella mente.
mattiapascal_11_pirandello_f000022|A un certo punto: «Beate le marionette,» sospirai|A un certo punto: Beate le marionette, sospirai
mattiapascal_11_pirandello_f000023|«su le cui teste di legno il finto cielo si conserva senza strappi! Non perplessità angosciose, né ritegni, né intoppi, né ombre|su le cui teste di legno il finto cielo si conserva senza strappi! Non perplessità angosciose, né ritegni, né intoppi, né ombre
mattiapascal_11_pirandello_f000024|né pietà: nulla! E possono attendere bravamente e prender gusto alla loro commedia e amare e tener se stesse in considerazione e in pregio|né pietà: nulla! E possono attendere bravamente e prender gusto alla loro commedia e amare e tener se stesse in considerazione e in pregio
mattiapascal_11_pirandello_f000025|senza soffrir mai vertigini o capogiri, poiché per la loro statura e per le loro azioni quel cielo è un tetto proporzionato.|senza soffrir mai vertigini o capogiri, poiché per la loro statura e per le loro azioni quel cielo è un tetto proporzionato.
mattiapascal_11_pirandello_f000026|«E il prototipo di queste marionette, caro signor Anselmo,» seguitai a pensare|E il prototipo di queste marionette, caro signor Anselmo, seguitai a pensare
mattiapascal_11_pirandello_f000027|«voi l'avete in casa, ed è il vostro indegno genero, Papiano.|voi l'avete in casa, ed è il vostro indegno genero, Papiano.
mattiapascal_11_pirandello_f000028|Chi più di lui pago del cielo di cartapesta, basso basso, che gli sta sopra, comoda e tranquilla dimora di quel Dio proverbiale|Chi più di lui pago del cielo di cartapesta, basso basso, che gli sta sopra, comoda e tranquilla dimora di quel Dio proverbiale
mattiapascal_11_pirandello_f000029|di maniche larghe, pronto a chiuder gli occhi e ad alzare in remissione la mano;|di maniche larghe, pronto a chiuder gli occhi e ad alzare in remissione la mano;
mattiapascal_11_pirandello_f000030|di quel Dio che ripete sonnacchioso a ogni marachella: — “Ajutati, ch'io t'ajuto” —?|di quel Dio che ripete sonnacchioso a ogni marachella: - Ajutati, ch'io t'ajuto -?
mattiapascal_11_pirandello_f000031|E s'ajuta in tutti i modi il vostro Papiano.|E s'ajuta in tutti i modi il vostro Papiano.
mattiapascal_11_pirandello_f000032|La vita per lui è quasi un gioco d'abilità.|La vita per lui è quasi un gioco d'abilità.
mattiapascal_11_pirandello_f000033|E come gode a cacciarsi in ogni intrigo: alacre, intraprendente, chiacchierone!».|E come gode a cacciarsi in ogni intrigo: alacre, intraprendente, chiacchierone!.
mattiapascal_11_pirandello_f000034|Aveva circa quarant'anni, Papiano, ed era alto di statura e robusto di membra: un po' calvo|Aveva circa quarant'anni, Papiano, ed era alto di statura e robusto di membra: un po' calvo
mattiapascal_11_pirandello_f000035|con un grosso pajo di baffi brizzolati appena appena sotto il naso, un bel nasone dalle narici frementi;|con un grosso pajo di baffi brizzolati appena appena sotto il naso, un bel nasone dalle narici frementi;
mattiapascal_11_pirandello_f000036|occhi grigi, acuti e irrequieti come le mani.|occhi grigi, acuti e irrequieti come le mani.
mattiapascal_11_pirandello_f000037|Vedeva tutto e toccava tutto.|Vedeva tutto e toccava tutto.
mattiapascal_11_pirandello_f000038|Mentre, per esempio, stava a parlar con me, s'accorgeva – non so come – che Adriana, dietro a lui|Mentre, per esempio, stava a parlar con me, s'accorgeva - non so come - che Adriana, dietro a lui
mattiapascal_11_pirandello_f000039|stentava a pulire e a rimettere a posto qualche oggetto nella camera, e subito, assaettandosi:|stentava a pulire e a rimettere a posto qualche oggetto nella camera, e subito, assaettandosi:
