ritrattodeldiavolo_01_barrili_f000001|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.|IL RITRATTO DEL DIAVOLO di ANTON GIULIO BARRILI CAPITULO PRIMO.
ritrattodeldiavolo_07_barrili_f000007|Esciva appena d'infanzia quando le era morta la madre, e ciò le aveva portato l'obbligo di molte cure domestiche non intese subito|Esciva appena d'infanzia quando le era morta la madre, e ciò le aveva portato l'obbligo di molte cure domestiche non intese subito
ritrattodeldiavolo_07_barrili_f000008|ma vedute ed accettate a mano a mano che in lei cresceva con gli anni il giudizio.|ma vedute ed accettate a mano a mano che in lei cresceva con gli anni il giudizio.
ritrattodeldiavolo_07_barrili_f000009|Era una bambina grave prima di essere una donnina forte.|Era una bambina grave prima di essere una donnina forte.
ritrattodeldiavolo_07_barrili_f000010|Inoltre, ella aveva veduto assai presto la necessità di custodirsi da sè.|Inoltre, ella aveva veduto assai presto la necessità di custodirsi da sè.
ritrattodeldiavolo_07_barrili_f000011|Il fiorire della bellezza era stato precoce, e il ronzio dei calabroni del pari.|Il fiorire della bellezza era stato precoce, e il ronzio dei calabroni del pari.
ritrattodeldiavolo_07_barrili_f000012|Lodata, ammirata, corteggiata alla larga ma con visibile assiduità, bersagliata da sguardi languidi, salutata da esclamazioni subitanee|Lodata, ammirata, corteggiata alla larga ma con visibile assiduità, bersagliata da sguardi languidi, salutata da esclamazioni subitanee
ritrattodeldiavolo_07_barrili_f000013|da voltate e da fermate che dicevano esse sole un mondo di cose|da voltate e da fermate che dicevano esse sole un mondo di cose
ritrattodeldiavolo_07_barrili_f000014|madonna Fiordalisa ci aveva tutte le tentazioni per diventare una vanerella.|madonna Fiordalisa ci aveva tutte le tentazioni per diventare una vanerella.
ritrattodeldiavolo_07_barrili_f000015|E forse sarebbe finita così, se la presenza di una mamma, tenendo lontani gli adoratori importuni|E forse sarebbe finita così, se la presenza di una mamma, tenendo lontani gli adoratori importuni
ritrattodeldiavolo_07_barrili_f000016|avesse lasciato libera quella bella creatura di scegliere nella turba i più modesti|avesse lasciato libera quella bella creatura di scegliere nella turba i più modesti
ritrattodeldiavolo_07_barrili_f000017|e ad ogni modo di inebbriarsi in tutte le generazioni d'incenso che vaporavano intorno a lei.|e ad ogni modo di inebbriarsi in tutte le generazioni d'incenso che vaporavano intorno a lei.
ritrattodeldiavolo_07_barrili_f000018|Ma io ve l'ho detto, Fiordalisa era sola;|Ma io ve l'ho detto, Fiordalisa era sola;
ritrattodeldiavolo_07_barrili_f000019|non aveva tempo nè modo di raccapezzarsi;|non aveva tempo nè modo di raccapezzarsi;
ritrattodeldiavolo_07_barrili_f000020|doveva guardarsi da tutti, non osservando nessuno.|doveva guardarsi da tutti, non osservando nessuno.
ritrattodeldiavolo_07_barrili_f000021|E si era concentrata in sè chiudendo nel profondo dell'anima tutte le sue belle fantasie giovanili.|E si era concentrata in sè chiudendo nel profondo dell'anima tutte le sue belle fantasie giovanili.
ritrattodeldiavolo_07_barrili_f000022|Ora, voi sapete che cosa avviene dei liquori generosi, quando sono chiusi appuntino;|Ora, voi sapete che cosa avviene dei liquori generosi, quando sono chiusi appuntino;
ritrattodeldiavolo_07_barrili_f000023|fermentano da sè, si rinforzano in una specie di meditazione solitaria.|fermentano da sè, si rinforzano in una specie di meditazione solitaria.
ritrattodeldiavolo_07_barrili_f000024|E nell'anima di Fiordalisa, la fantasia aveva tanto più lavorato, quanto più era stata rinchiusa.|E nell'anima di Fiordalisa, la fantasia aveva tanto più lavorato, quanto più era stata rinchiusa.
ritrattodeldiavolo_07_barrili_f000025|La vita reale l'opprimeva con tutte le sue convenienze, i suoi riguardi, le sue necessità|La vita reale l'opprimeva con tutte le sue convenienze, i suoi riguardi, le sue necessità
ritrattodeldiavolo_07_barrili_f000026|ma lo spirito si ricattava di quella tortura, affinando, abbellendo, innalzando il proprio ideale.|ma lo spirito si ricattava di quella tortura, affinando, abbellendo, innalzando il proprio ideale.
ritrattodeldiavolo_07_barrili_f000027|Mastro Jacopo credeva di comandar lui alla sua bella figliuola, perchè|Mastro Jacopo credeva di comandar lui alla sua bella figliuola, perchè
ritrattodeldiavolo_07_barrili_f000028|quando le diceva: "facciamo la tal cosa" ella si affrettava ad obbedirgli.|quando le diceva: facciamo la tal cosa ella si affrettava ad obbedirgli.
ritrattodeldiavolo_07_barrili_f000029|E non sapeva, il babbo, che egli non comandava mai e che non consigliava mai nulla che non fosse ispirato da lei|E non sapeva, il babbo, che egli non comandava mai e che non consigliava mai nulla che non fosse ispirato da lei
ritrattodeldiavolo_07_barrili_f000030|e preparato da lunga mano con sapienti rigiri.|e preparato da lunga mano con sapienti rigiri.
ritrattodeldiavolo_07_barrili_f000031|Per esempio, la fanciulla aveva inteso assai presto che un giorno le sarebbe toccato di andare a marito|Per esempio, la fanciulla aveva inteso assai presto che un giorno le sarebbe toccato di andare a marito
ritrattodeldiavolo_07_barrili_f000032|e che forse avrebbe dovuto escire di casa.|e che forse avrebbe dovuto escire di casa.
ritrattodeldiavolo_07_barrili_f000033|E allora, chi avrebbe avuto cura del babbo?|E allora, chi avrebbe avuto cura del babbo?
ritrattodeldiavolo_07_barrili_f000034|Un uomo solo ha bisogno di tante cose, nel governo della casa, che una donna gli è più che utile, necessaria.|Un uomo solo ha bisogno di tante cose, nel governo della casa, che una donna gli è più che utile, necessaria.
ritrattodeldiavolo_07_barrili_f000035|Nè basta a lui di essere in tal condizione d'agiatezza, che gli consenta il lusso di due o tre donne di governo.|Nè basta a lui di essere in tal condizione d'agiatezza, che gli consenta il lusso di due o tre donne di governo.
ritrattodeldiavolo_07_barrili_f000036|Fossero anche dieci, esse non valgono l'occhio ed il cenno di una buona massaia.|Fossero anche dieci, esse non valgono l'occhio ed il cenno di una buona massaia.
ritrattodeldiavolo_07_barrili_f000037|Perciò, immaginate con quanti graziosi artifizi madonna Fiordalisa s'industriasse a insinuare bel bello nella mente di suo padre|Perciò, immaginate con quanti graziosi artifizi madonna Fiordalisa s'industriasse a insinuare bel bello nella mente di suo padre
ritrattodeldiavolo_07_barrili_f000038|che la figliuola di un artista non doveva sposare che un artista.|che la figliuola di un artista non doveva sposare che un artista.
ritrattodeldiavolo_07_barrili_f000039|La cosa tornava bene all'umore bizzarro di mastro Jacopo;|La cosa tornava bene all'umore bizzarro di mastro Jacopo;
ritrattodeldiavolo_07_barrili_f000040|ed egli aveva fatta sua l'ideina germogliata nel cervello della sua Fiordalisa.|ed egli aveva fatta sua l'ideina germogliata nel cervello della sua Fiordalisa.
ritrattodeldiavolo_07_barrili_f000041|Perchè s'era messa in testa di consigliarlo a quel modo?|Perchè s'era messa in testa di consigliarlo a quel modo?
ritrattodeldiavolo_07_barrili_f000042|Son certo che voi, lettor sottile, non mi menate buona la ragione domestica, rammentando la massima|Son certo che voi, lettor sottile, non mi menate buona la ragione domestica, rammentando la massima
ritrattodeldiavolo_07_barrili_f000043|confermata da una osservazione costante, che noi accogliamo le idee savie solamente quando esse s'accordano con una realtà che ci piace.|confermata da una osservazione costante, che noi accogliamo le idee savie solamente quando esse s'accordano con una realtà che ci piace.
ritrattodeldiavolo_07_barrili_f000044|Ma, a farlo apposta per isbugiardare la massima, Fiordalisa non ci aveva nessuna realtà di quelle che potreste figurarvi.|Ma, a farlo apposta per isbugiardare la massima, Fiordalisa non ci aveva nessuna realtà di quelle che potreste figurarvi.
ritrattodeldiavolo_07_barrili_f000045|Ella non aveva davanti agli occhi la più piccola immagine di genio nascente.|Ella non aveva davanti agli occhi la più piccola immagine di genio nascente.
ritrattodeldiavolo_07_barrili_f000046|Gli scolari di suo padre erano rozzi, o gaglioffi, veri fattori, garzoni di bottega, non artisti da innamorare le fanciulle.|Gli scolari di suo padre erano rozzi, o gaglioffi, veri fattori, garzoni di bottega, non artisti da innamorare le fanciulle.
ritrattodeldiavolo_07_barrili_f000047|Madonna Fiordalisa non aveva condotto l'animo di suo padre su quella via, che per un senso d'orgoglio. Ecco in che modo.|Madonna Fiordalisa non aveva condotto l'animo di suo padre su quella via, che per un senso d'orgoglio. Ecco in che modo.
ritrattodeldiavolo_07_barrili_f000048|L'arte della pittura incominciava allora ad essere tenuta in qualche pregio|L'arte della pittura incominciava allora ad essere tenuta in qualche pregio
ritrattodeldiavolo_07_barrili_f000049|più per la fama di Giotto e de' suoi valenti discepoli, che non per sè medesima, come arte liberale.|più per la fama di Giotto e de' suoi valenti discepoli, che non per sè medesima, come arte liberale.
ritrattodeldiavolo_07_barrili_f000050|Solo da pochi anni i pittori avevano istituita in Firenze la loro confraternita speciale, e mastro Jacopo di Casentino|Solo da pochi anni i pittori avevano istituita in Firenze la loro confraternita speciale, e mastro Jacopo di Casentino
ritrattodeldiavolo_07_barrili_f000051|che v'era ascritto dei primi, aveva dipinto per l'oratorio di quella un San Luca che ritrae la Nostra Donna in un quadro.|che v'era ascritto dei primi, aveva dipinto per l'oratorio di quella un San Luca che ritrae la Nostra Donna in un quadro.
ritrattodeldiavolo_07_barrili_f000052|Ma ciò non bastava ancora a nobilitare i pittori, poichè, lo sapete, tutte le distinzioni hanno mestieri di pigliar lustro dal tempo.|Ma ciò non bastava ancora a nobilitare i pittori, poichè, lo sapete, tutte le distinzioni hanno mestieri di pigliar lustro dal tempo.
ritrattodeldiavolo_07_barrili_f000053|Inoltre la compagnia di san Luca non era nata con intendimenti molto orgogliosi|Inoltre la compagnia di san Luca non era nata con intendimenti molto orgogliosi
ritrattodeldiavolo_07_barrili_f000054|ma solo perchè i maestri che allora vivevano, così della vecchia maniera greca|ma solo perchè i maestri che allora vivevano, così della vecchia maniera greca
ritrattodeldiavolo_07_barrili_f000055|come della nuova di Giotto, ritrovandosi in gran numero e considerando che l'arti del disegno avevano in Toscana, anzi proprio in Firenze|come della nuova di Giotto, ritrovandosi in gran numero e considerando che l'arti del disegno avevano in Toscana, anzi proprio in Firenze
ritrattodeldiavolo_07_barrili_f000056|avuto il loro rinascimento, s'erano consigliati di creare la detta compagnia|avuto il loro rinascimento, s'erano consigliati di creare la detta compagnia
ritrattodeldiavolo_07_barrili_f000057|sotto il nome e la protezione di san Luca evangelista, sì per render lode e grazie a Dio nell'oratorio di quella|sotto il nome e la protezione di san Luca evangelista, sì per render lode e grazie a Dio nell'oratorio di quella
ritrattodeldiavolo_07_barrili_f000058|sì anco per trovarsi alcuna volta insieme e sovvenire nelle cose dell'anima e del corpo a chi, secondo i tempi, n'avesse bisogno. Il periodo è lungo;|sì anco per trovarsi alcuna volta insieme e sovvenire nelle cose dell'anima e del corpo a chi, secondo i tempi, n'avesse bisogno. Il periodo è lungo;
ritrattodeldiavolo_07_barrili_f000059|ma non è che l'abbreviatura d'un altro, anche più lungo, di messer Giorgio Vasari.|ma non è che l'abbreviatura d'un altro, anche più lungo, di messer Giorgio Vasari.
ritrattodeldiavolo_07_barrili_f000060|Del resto i pittori non erano che una frazione degli scudai, rotellai, palvesai, ed altri artefici di quella fatta;|Del resto i pittori non erano che una frazione degli scudai, rotellai, palvesai, ed altri artefici di quella fatta;
ritrattodeldiavolo_07_barrili_f000061|nè si credevano diversi da questi, poichè tutti dipingevano le pezze onorevoli e le imprese negli scudi degli uomini di guerra.|nè si credevano diversi da questi, poichè tutti dipingevano le pezze onorevoli e le imprese negli scudi degli uomini di guerra.
ritrattodeldiavolo_07_barrili_f000062|La famosa risposta di Giotto a quel villan rifatto che voleva farsi dipinger l'arme da lui, è la riprova di questa comunanza di lavoro.|La famosa risposta di Giotto a quel villan rifatto che voleva farsi dipinger l'arme da lui, è la riprova di questa comunanza di lavoro.
ritrattodeldiavolo_07_barrili_f000063|Il rinnovatore dell'arte italiana non si doleva tanto di dover dipingere uno stemma|Il rinnovatore dell'arte italiana non si doleva tanto di dover dipingere uno stemma
ritrattodeldiavolo_07_barrili_f000064|quanto di dover accettare la commissione d'un uomo di picciolo affare, che ragionava d'armi come se fosse il duca Namo di Baviera.|quanto di dover accettare la commissione d'un uomo di picciolo affare, che ragionava d'armi come se fosse il duca Namo di Baviera.
ritrattodeldiavolo_07_barrili_f000065|Accadeva dunque all'arte della pittura ciò che è dei piccoli aquilotti nel nido|Accadeva dunque all'arte della pittura ciò che è dei piccoli aquilotti nel nido
ritrattodeldiavolo_07_barrili_f000066|che sentono nascer le penne e già batton l'ali, quantunque abbiano ancora i bordoni.|che sentono nascer le penne e già batton l'ali, quantunque abbiano ancora i bordoni.
ritrattodeldiavolo_07_barrili_f000067|Madonna Fiordalisa sentiva il gentile orgoglio dell'arte paterna, e in ciò spero che nessuno le vorrà dar torto.|Madonna Fiordalisa sentiva il gentile orgoglio dell'arte paterna, e in ciò spero che nessuno le vorrà dar torto.
ritrattodeldiavolo_07_barrili_f000068|Quegli angioli e quelle Vergini che dipingeva suo padre e che facevano rimanere a bocca aperta tanti gentiluomi di Firenze e di Arezzo|Quegli angioli e quelle Vergini che dipingeva suo padre e che facevano rimanere a bocca aperta tanti gentiluomi di Firenze e di Arezzo
ritrattodeldiavolo_07_barrili_f000069|erano quarti di nobiltà per la sua casa, che valevano pure le armi di concessione degli imperatori di Lamagna e dei reali di Francia.|erano quarti di nobiltà per la sua casa, che valevano pure le armi di concessione degli imperatori di Lamagna e dei reali di Francia.
ritrattodeldiavolo_07_barrili_f000070|Madonna Fiordalisa aveva dunque la sua piccola superbia in testa.|Madonna Fiordalisa aveva dunque la sua piccola superbia in testa.
ritrattodeldiavolo_07_barrili_f000071|E poichè al matrimonio bisognava pensare, per la ragione naturalissima che una bella ragazza come lei non avrebbe potuto sottrarvisi|E poichè al matrimonio bisognava pensare, per la ragione naturalissima che una bella ragazza come lei non avrebbe potuto sottrarvisi
ritrattodeldiavolo_07_barrili_f000072|ella incominciò a fare il suo ragionamento dentro di sè.|ella incominciò a fare il suo ragionamento dentro di sè.
ritrattodeldiavolo_07_barrili_f000073|Un artefice di umili lavori non lo voleva, e ad ogni modo non lo avrebbe voluto mastro Jacopo;|Un artefice di umili lavori non lo voleva, e ad ogni modo non lo avrebbe voluto mastro Jacopo;
ritrattodeldiavolo_07_barrili_f000074|ma un gentiluomo, ancorchè fosse piaciuto a suo padre, non lo avrebbe voluto lei sentendo istintivamente che i grandi|ma un gentiluomo, ancorchè fosse piaciuto a suo padre, non lo avrebbe voluto lei sentendo istintivamente che i grandi
ritrattodeldiavolo_07_barrili_f000075|i potenti della terra, non erano fatti per la figliuola d'un pittore.|i potenti della terra, non erano fatti per la figliuola d'un pittore.
ritrattodeldiavolo_07_barrili_f000076|Madonna Fiordalisa non amava discendere, ma non voleva neanche salire ad una altezza|Madonna Fiordalisa non amava discendere, ma non voleva neanche salire ad una altezza
